wavelength	n	k
350.397168	1.477981670102148	0
351.986475	1.4776185602173177	0
353.575781	1.4772333676495326	0
355.165088	1.4768264198276402	0
356.75437	1.476398051806037	0
358.343628	1.4759485921970208	0
359.932886	1.4754783625761123	0
361.522144	1.4751238759430498	0
363.111377	1.4751258361975905	0
364.70061	1.475108190905444	0
366.289819	1.4750714110101915	0
367.879028	1.4750159666169238	0
369.468213	1.4749423291974493	0
371.057397	1.4748509683205788	0
372.646582	1.4747423540744964	0
374.235718	1.4746169608349022	0
375.824878	1.4744752534154097	0
377.414014	1.4743177062620743	0
379.003125	1.474144790355464	0
380.592236	1.4739569734781783	0
382.181323	1.4737547289290522	0
383.77041	1.4735385240992929	0
385.359473	1.4733088326739154	0
386.948535	1.4730661217436753	0
388.537573	1.472810865210125	0
390.126587	1.4725435337041637	0
391.715601	1.4722645935157526	0
393.30459	1.4719745193455067	0
394.893579	1.4716737769243926	0
396.482544	1.471362841052944	0
398.071484	1.4710421823955322	0
399.660425	1.4707122659145595	0
401.249341	1.4703735671914329	0
402.838232	1.4700265565945179	0
404.4271	1.4696717039963942	0
406.015967	1.4695456252743349	0
407.60481	1.4694611934112947	0
409.193652	1.4693693774878787	0
410.782471	1.469270130800073	0
412.37124	1.4691634074073687	0
413.96001	1.469049156092092	0
415.548779	1.4689273288607516	0
417.1375	1.468797881533165	0
418.726221	1.4686607624104346	0
420.314893	1.468515927946363	0
421.903564	1.4683633260004538	0
423.492236	1.4682029082521468	0
425.080859	1.4680346319787112	0
426.669482	1.4678584442290779	0
428.258057	1.4676743025639405	0
429.846582	1.467482159834269	0
431.435156	1.4672819559545707	0
433.023633	1.4670736615762494	0
434.612158	1.4668572099462154	0
436.200586	1.4666795394467478	0
437.789063	1.466632923417037	0
439.377441	1.4665781550729473	0
440.965869	1.4665152924941647	0
442.554199	1.4664444047378198	0
444.142529	1.4663655510038163	0
445.730859	1.4662787941214603	0
447.319141	1.466184199896658	0
448.907373	1.4660818319947417	0
450.495605	1.4659717503785776	0
452.083789	1.465854021538966	0
453.671973	1.4657287050772139	0
455.260107	1.4655958681052657	0
456.848193	1.4654555739555273	0
458.436279	1.4653078815268576	0
460.024316	1.4651528585154772	0
461.612305	1.4649905682875293	0
463.200293	1.4648210691656671	0
464.788232	1.4646444293989935	0
466.376172	1.46446070653323	0
467.964014	1.4642881537772778	0
469.551855	1.4642664649037713	0
471.139697	1.4642379412208635	0
472.727441	1.4642027013676513	0
474.315186	1.4641608599910336	0
475.902881	1.4641125349601274	0
477.490527	1.464057843060971	0
479.078174	1.4639968990658065	0
480.665771	1.4639298214197907	0
482.25332	1.4638567267950708	0
