wavelength	mse
350.397168	3122.7962840742002
351.986475	3125.6453714137774
353.575781	3127.956149957491
355.165088	3129.90735957438
356.75437	3131.335908333125
358.343628	3132.079177125577
359.932886	3132.6064799347373
361.522144	3133.156132624761
363.111377	3133.7667531574252
364.70061	3134.5263762213767
366.289819	3135.1658253989585
367.879028	3135.7267699349472
369.468213	3136.3534203191703
371.057397	3137.5083452724334
372.646582	3140.1936944140025
374.235718	3144.535167266576
375.824878	3149.3777078385438
377.414014	3152.6993711164987
379.003125	3154.1927645926394
380.592236	3154.7250392032015
382.181323	3155.6156174182083
383.77041	3156.677485352273
385.359473	3157.4185285061894
386.948535	3157.974992361072
388.537573	3159.423191791593
390.126587	3162.834089188288
391.715601	3167.3510184067914
393.30459	3172.27207414305
394.893579	3176.4633583987234
396.482544	3179.7596238656765
398.071484	3181.5517494173014
399.660425	3182.421030044248
401.249341	3182.9715651551733
402.838232	3183.6273871466915
404.4271	3184.516937977972
406.015967	3185.558081016946
407.60481	3186.5798754890857
409.193652	3187.3874321880417
410.782471	3188.0284148975247
412.37124	3188.5661298870477
413.96001	3189.129186393035
415.548779	3189.831990610209
417.1375	3191.294052568252
418.726221	3193.574497318017
420.314893	3196.5384287323204
421.903564	3200.1083516322547
423.492236	3204.375033197024
425.080859	3209.0928370192446
426.669482	3214.0107513930893
428.258057	3218.858005559266
429.846582	3223.3390813598457
431.435156	3227.101963630496
433.023633	3230.7309835069586
434.612158	3234.0931880642524
436.200586	3236.7554983424016
437.789063	3238.501094283699
439.377441	3239.485413012289
440.965869	3240.117312005592
442.554199	3240.6631750543097
444.142529	3241.2238106369373
445.730859	3241.834941534748
447.319141	3242.517428917425
448.907373	3243.3532998612154
450.495605	3244.298337004107
452.083789	3245.3506977855773
453.671973	3246.4364536839803
455.260107	3247.47136744365
456.848193	3248.482769783415
458.436279	3249.3829942353113
460.024316	3250.117255019426
461.612305	3250.803874035698
463.200293	3251.370530678276
464.788232	3251.9245927700745
466.376172	3252.473543523761
467.964014	3253.092830013838
469.551855	3253.817478977874
471.139697	3254.7178098185464
472.727441	3256.2124136216476
474.315186	3257.8931023570726
475.902881	3259.767809671971
477.490527	3261.632549915145
479.078174	3264.672337640467
480.665771	3268.0271006722355
482.25332	3271.5545033822787
483.84082	3275.3756541070884
485.428271	3279.653497178953
487.015723	3284.0862552384997
488.603125	3288.842176188495
490.19043	3293.7468763704205
491.777734	3298.642435415689
493.36499	3303.5497658710606
494.952246	3308.366025715763
496.539404	3312.9722360495152
498.126514	3317.33056413303
499.713623	3321.6898118212166
501.300684	3325.9077551034666
502.887646	3329.8176991535647
504.474609	3333.46830787202
506.061523	3336.8943049873515
