wavelength	aoi	alpha	beta
350.397168	65	-0.5022152380899864	-0.8230735937574253
351.986475	65	-0.5001414228836486	-0.8255463146639097
353.575781	65	-0.4976804791059305	-0.8283985261866076
355.165088	65	-0.4948790227616355	-0.8316339203437696
356.75437	65	-0.4918186805988848	-0.8352299357495734
358.343628	65	-0.4886040270798997	-0.8391431081133085
359.932886	65	-0.4854647680243559	-0.8432660800367848
361.522144	65	-0.4825257591189355	-0.8475158879002516
363.111377	65	-0.48001467402423287	-0.8517588277462148
364.70061	65	-0.47827298387085554	-0.855790208703383
366.289819	65	-0.4779421279828658	-0.8591236699720989
367.879028	65	-0.4792000170431857	-0.8615673558925896
369.468213	65	-0.4824168910030618	-0.8627735862826942
371.057397	65	-0.4877414103186095	-0.8624596186270037
372.646582	65	-0.4947582282471328	-0.8607092197742403
374.235718	65	-0.5032920656703416	-0.8575875061199106
375.824878	65	-0.512853549342268	-0.8533272826471253
377.414014	65	-0.5225546817556015	-0.8485005195626221
379.003125	65	-0.5323374983967886	-0.8432095370644872
380.592236	65	-0.5418601163670129	-0.8377290014183201
382.181323	65	-0.5509150083294688	-0.832273653855535
383.77041	65	-0.5595545920098669	-0.8268548262645274
385.359473	65	-0.5677596226267234	-0.8215266943847169
386.948535	65	-0.5755278574838593	-0.8163310369676319
388.537573	65	-0.5828753648384866	-0.8112819304356531
390.126587	65	-0.589807043443617	-0.8064003636152446
391.715601	65	-0.5963353220431798	-0.8017032579645245
393.30459	65	-0.6024816703219263	-0.7971917014144001
394.893579	65	-0.6082637843266145	-0.7928696435904714
396.482544	65	-0.6137217913817956	-0.788723402280312
398.071484	65	-0.6188756291286716	-0.7847475648547477
399.660425	65	-0.6237627825197162	-0.7809240648621114
401.249341	65	-0.628414852212635	-0.7772361452938578
402.838232	65	-0.6328531803193053	-0.7736732588195661
404.4271	65	-0.6371127852574215	-0.7702129321852013
406.015967	65	-0.64120917328393	-0.7668467058414756
407.60481	65	-0.6451608865769074	-0.7635631811567192
409.193652	65	-0.6489778553794885	-0.7603573062309429
410.782471	65	-0.6526775029284052	-0.757217345467626
412.37124	65	-0.6562710481028626	-0.7541359842943428
413.96001	65	-0.6597644379233537	-0.7511104959050905
415.548779	65	-0.6631619799294514	-0.7481391639943903
417.1375	65	-0.6664726407609101	-0.7452160157565474
418.726221	65	-0.6697040918478989	-0.7423360717624915
420.314893	65	-0.6728433920582889	-0.7395125942634836
421.903564	65	-0.6759109375913234	-0.7367290384009538
423.492236	65	-0.6789004783860766	-0.7339924548717346
425.080859	65	-0.6818228551525366	-0.7312945161987066
426.669482	65	-0.6846661387688724	-0.7286476573614958
428.258057	65	-0.6874406641200637	-0.7260438052275632
429.846582	65	-0.690146827240948	-0.7234839098416401
431.435156	65	-0.6927888134586783	-0.7209652831080744
433.023633	65	-0.6953699774389879	-0.7184859342447611
434.612158	65	-0.6978829614983348	-0.7160541836454742
436.200586	65	-0.7003366657300832	-0.7136626421596163
437.789063	65	-0.7027258704309001	-0.7113175058141692
439.377441	65	-0.7050645955441852	-0.7090060835795238
440.965869	65	-0.7073412390837914	-0.7067408245322179
442.554199	65	-0.7095685987528118	-0.704510020609893
444.142529	65	-0.7117300471923889	-0.7023313183753893
445.730859	65	-0.7138456541916188	-0.7001854644206073
447.319141	65	-0.7159080130745035	-0.6980807601471613
448.907373	65	-0.7179299515814962	-0.696004919867802
450.495605	65	-0.7198918592694544	-0.6939789034018299
452.083789	65	-0.72181120892566	-0.6919855022220569
453.671973	65	-0.7236847682582693	-0.6900287398649596
455.260107	65	-0.7255213312375222	-0.6881000853652735
456.848193	65	-0.7273078742270472	-0.6862138963720873
