wavelength	aoi	alpha	beta
350.397168	40	-0.15166048743940044	-0.9852503242244203
351.986475	40	-0.15083762336374024	-0.9854742353046044
353.575781	40	-0.14987086621537163	-0.9857317870372482
355.165088	40	-0.14877460047691035	-0.9860230798830224
356.75437	40	-0.14757572205603567	-0.9863458277747126
358.343628	40	-0.14630946762539965	-0.986695870464621
359.932886	40	-0.14505242927812906	-0.9870634461356598
361.522144	40	-0.1438480259287779	-0.9874410095046411
363.111377	40	-0.14277297076123788	-0.9878166944738443
364.70061	40	-0.1419416258187866	-0.9881726225203976
366.289819	40	-0.14157625212655428	-0.9884665764443965
367.879028	40	-0.14174061687377118	-0.9886824004771799
369.468213	40	-0.1425670438125871	-0.9887904248342055
371.057397	40	-0.14412074471064706	-0.9887664267294872
372.646582	40	-0.1462780557784929	-0.9886175425995003
374.235718	40	-0.14898798627074694	-0.9883489550502912
375.824878	40	-0.15209654174434858	-0.9879800279771088
377.414014	40	-0.15530464919913387	-0.9875598236058226
379.003125	40	-0.1585896891223787	-0.9870967815315331
380.592236	40	-0.161830623494416	-0.9866146487723397
382.181323	40	-0.1649482059265208	-0.9861323026194392
383.77041	40	-0.16795584206270545	-0.9856507920037362
385.359473	40	-0.17084202239822524	-0.9851750235610499
386.948535	40	-0.17360098871752275	-0.9847088810896665
388.537573	40	-0.17623483662553555	-0.9842537924687608
390.126587	40	-0.17874167764443966	-0.9838118350452594
391.715601	40	-0.1811221490906037	-0.9833847500274548
393.30459	40	-0.18338115942772915	-0.982972838089503
394.893579	40	-0.18552228348724212	-0.982576661888399
396.482544	40	-0.18755758897947195	-0.9821951603150406
398.071484	40	-0.18949251969499253	-0.9818280036819581
399.660425	40	-0.19133912896922886	-0.9814736796864062
401.249341	40	-0.1931077669239954	-0.9811307677042431
402.838232	40	-0.19480522034347553	-0.9807984019598279
404.4271	40	-0.19644372720459885	-0.9804745838188825
406.015967	40	-0.1980283466355135	-0.9801586024282029
407.60481	40	-0.19956543072950889	-0.979849459057704
409.193652	40	-0.20105813638928888	-0.9795467407660116
410.782471	40	-0.2025126456459286	-0.9792493944324816
412.37124	40	-0.2039328597435317	-0.9789567733399773
413.96001	40	-0.20532062217904218	-0.9786686608014601
415.548779	40	-0.2066771918812502	-0.9783849329746275
417.1375	40	-0.20800573087498264	-0.9781050557995531
418.726221	40	-0.20930892975404108	-0.9778285845753318
420.314893	40	-0.21058117869353482	-0.977556827070327
421.903564	40	-0.21183035177100965	-0.9772882242940935
423.492236	40	-0.21305358199951308	-0.9770234856670172
425.080859	40	-0.2142549599517223	-0.9767618345657992
426.669482	40	-0.2154292543844993	-0.9765045067223427
428.258057	40	-0.21658038603311197	-0.9762507485538865
429.846582	40	-0.21770821324904174	-0.9760006808750383
431.435156	40	-0.2188141853463454	-0.9757540684526925
433.023633	40	-0.21989942836255144	-0.9755107419090789
434.612158	40	-0.22096055760942873	-0.9752715452515502
436.200586	40	-0.22200104457951866	-0.975035779078952
437.789063	40	-0.22301840799481515	-0.9748040807446259
439.377441	40	-0.22401836519807697	-0.9745752206680004
440.965869	40	-0.22499571677429545	-0.9743504552426177
442.554199	40	-0.2259557127105893	-0.9741286466640867
444.142529	40	-0.22689094148402375	-0.9739115747768456
445.730859	40	-0.22780984785689162	-0.9736973457966445
447.319141	40	-0.22870901591681364	-0.9734868092214388
448.907373	40	-0.22959384317036785	-0.9732787556200964
450.495605	40	-0.23045554125121642	-0.9730753074004431
452.083789	40	-0.23130157396501103	-0.9728747589797456
453.671973	40	-0.23213034547464453	-0.9726775334896217
455.260107	40	-0.2329455824721802	-0.9724827880653967
456.848193	40	-0.23374133173926775	-0.9722919908066164
458.436279	40	-0.23452074750282914	-0.9721044330140775
460.024316	40	-0.23528625907883038	-0.9719195685301106
461.612305	40	-0.2360382300399312	-0.9717373444171921
463.200293	40	-0.23677674955810993	-0.9715577739940038
464.788232	40	-0.2374970399048572	-0.9713820579164516
466.376172	40	-0.23820648906820077	-0.9712084287546467
467.964014	40	-0.23889916352407312	-0.971038370443203
469.551855	40	-0.2395843392993562	-0.9708696338756814
471.139697	40	-0.24025284748643033	-0.9707045042915363
472.727441	40	-0.24091334536932837	-0.9705408706989804
474.315186	40	-0.24155926439897943	-0.9703803855201127
475.902881	40	-0.24219420614960577	-0.9702221811009588
477.490527	40	-0.2428191616146139	-0.9700660324158984
479.078174	40	-0.24343128881525347	-0.9699126731502155
480.665771	40	-0.24403618733383786	-0.9697607206752821
482.25332	40	-0.2446243814961687	-0.9696125794432908
483.84082	40	-0.24520628322838284	-0.9694656490145569
485.428271	40	-0.24577716281116824	-0.9693211402496714
487.015723	40	-0.24634072094096124	-0.9691781334056859
488.603125	40	-0.24689748306479142	-0.9690365082929573
490.19043	40	-0.24744219447701812	-0.9688976192075555
491.777734	40	-0.24798173918515937	-0.968759726039956
493.36499	40	-0.24850782306264585	-0.9686249656181483
494.952246	40	-0.2490278886160368	-0.9684914477151136
496.539404	40	-0.2495423356146386	-0.9683590793275085
498.126514	40	-0.2500484032961221	-0.9682285827962391
499.713623	40	-0.25055114091932584	-0.9680986657018871
501.300684	40	-0.25104033411324056	-0.967971982678448
502.887646	40	-0.2515224427045321	-0.9678468769845534
504.474609	40	-0.25199815274240206	-0.967723181034311
506.061523	40	-0.25246461780350643	-0.9676016471595144
507.64834	40	-0.2529293341866129	-0.9674803300618964
509.235156	40	-0.2533867384970613	-0.9673606893247029
510.821924	40	-0.2538391852338018	-0.9672421182234541
512.408643	40	-0.25428788970616306	-0.9671243049041114
513.995264	40	-0.2547223798849336	-0.9670100131092013
515.581885	40	-0.2551529490008199	-0.9668965473504455
517.168457	40	-0.25557908283224334	-0.966784048757656
518.754932	40	-0.255998962940757	-0.9666730048092415
520.341406	40	-0.256418520316479	-0.9665618510726991
521.927783	40	-0.2568310688023287	-0.9664523646179422
523.51416	40	-0.25723739011397845	-0.966344347062518
525.100439	40	-0.2576405116853143	-0.9662369998379631
526.68667	40	-0.2580327155815585	-0.9661323881209772
528.272852	40	-0.25841991500193423	-0.9660289445312588
529.858984	40	-0.25880613359613347	-0.9659255972359829
531.445068	40	-0.25918471197094	-0.9658241337820404
533.031055	40	-0.25956317116759325	-0.9657225429518848
534.616992	40	-0.2599396056164153	-0.9656213379924207
536.202881	40	-0.2603043450658793	-0.965523128259502
537.788721	40	-0.2606672215709765	-0.9654252737049284
539.374512	40	-0.2610273969341219	-0.9653280030015133
540.960254	40	-0.2613790800337771	-0.9652328869950741
542.545898	40	-0.26172988753968746	-0.9651378707173763
544.131494	40	-0.26207827713215565	-0.9650433738727112
545.716992	40	-0.26241803276827713	-0.964951089274375
547.30249	40	-0.2627566098039693	-0.9648589970077212
548.887891	40	-0.26309258617150344	-0.9647674861129144
550.473242	40	-0.2634199760727771	-0.9646781934567067
552.058496	40	-0.2637460724774689	-0.9645891349631817
553.643701	40	-0.2640709706728424	-0.9645002858304056
555.228857	40	-0.26438745465972957	-0.9644136247837287
556.813965	40	-0.2647039237347137	-0.9643268559386697
558.398975	40	-0.26502074234487005	-0.9642398791088845
559.983936	40	-0.26532885446335136	-0.9641551854304021
561.568799	40	-0.2656360325270674	-0.9640706429222121
563.153613	40	-0.26594264196552914	-0.9639861518145793
564.73833	40	-0.26624192838217475	-0.9639035777458341
566.322998	40	-0.2665371064806517	-0.9638220393900766
567.907617	40	-0.2668309297302386	-0.9637407786931156
569.492139	40	-0.26712030598506387	-0.9636606536610481
571.076611	40	-0.2674047236714054	-0.9635818103998903
572.660986	40	-0.2676893355669203	-0.9635028225432787
574.245313	40	-0.2679740844007939	-0.9634237056831157
575.829541	40	-0.26825159206850835	-0.9633465134990955
577.413672	40	-0.26852979186724824	-0.9632690420137092
578.997803	40	-0.2688074342844021	-0.9631916393385019
580.581787	40	-0.269076940281746	-0.963116422802858
582.165723	40	-0.26934244834436927	-0.9630422427254198
583.749609	40	-0.2696074052423974	-0.9629681378594784
585.333398	40	-0.2698704594174203	-0.9628944871692331
586.91709	40	-0.270128196654165	-0.9628222497564519
588.500684	40	-0.2703866915654539	-0.9627497248952376
590.084229	40	-0.2706456634539055	-0.962676990849739
591.667725	40	-0.2708973270889199	-0.9626062374917803
593.251123	40	-0.27114641084532787	-0.962536139497548
594.834424	40	-0.2713951255709823	-0.9624660758439707
596.417627	40	-0.2716419391410327	-0.9623964791151924
598.000781	40	-0.27188161509310543	-0.9623288296216637
599.583838	40	-0.27212078858638067	-0.9622612576316166
601.166797	40	-0.2723597683289187	-0.9621936761333442
602.749707	40	-0.27259478162496176	-0.9621271536204411
604.33252	40	-0.2728262640607944	-0.9620615697062669
605.915234	40	-0.27305841360236505	-0.961995736071266
607.497852	40	-0.27329151360145554	-0.9619295716649282
609.08042	40	-0.27351838965895225	-0.961865115122351
610.662891	40	-0.273743893887852	-0.9618009907923413
612.245264	40	-0.273969340516913	-0.9617368255735715
613.827539	40	-0.27419398024463204	-0.9616728331767612
615.409717	40	-0.2744099554847	-0.9616112555054914
616.991846	40	-0.27462515160489887	-0.9615498477723449
618.573877	40	-0.2748407248864099	-0.9614882799896345
620.155762	40	-0.2750567606845537	-0.961426527312781
621.737598	40	-0.2752664279958365	-0.9613665445138826
623.319385	40	-0.2754776196815997	-0.9613060752284781
624.901025	40	-0.27568963376527555	-0.9612453197206375
626.482568	40	-0.275900434572042	-0.9611848616122246
628.064063	40	-0.2761025383640056	-0.9611268509525578
629.64541	40	-0.2763044161522663	-0.9610688591625427
631.226709	40	-0.27650632069458153	-0.9610108136490914
632.807861	40	-0.2767076843321137	-0.9609528777267023
634.388965	40	-0.2769021589498849	-0.9608968802920382
635.969971	40	-0.2770971081290784	-0.9608407032465213
637.55083	40	-0.2772925410690068	-0.9607843436207187
639.131641	40	-0.2774884853495054	-0.9607277931291579
640.712354	40	-0.2776762968437385	-0.9606735490310065
642.29292	40	-0.27786436839045836	-0.9606191897987959
643.873438	40	-0.27805297122661776	-0.960564636767216
645.453857	40	-0.27824211361198503	-0.9605098871894916
647.034131	40	-0.2784254131190573	-0.9604567901680026
648.614355	40	-0.27860709399678235	-0.960404124438785
650.194434	40	-0.2787889635136032	-0.9603513665937662
651.774414	40	-0.278970831403063	-0.9602985717936497
653.354346	40	-0.27914925569361204	-0.9602467401825241
654.934131	40	-0.2793236835913748	-0.9601960345668521
656.513818	40	-0.27949835713957155	-0.9601452230011636
658.093408	40	-0.27967366829673357	-0.9600941911458893
659.6729	40	-0.2798494611429976	-0.9600429839943447
661.252246	40	-0.2800182866041564	-0.9599937732300232
662.831543	40	-0.2801883302846503	-0.9599441745849192
664.410693	40	-0.280359422928868	-0.9598942367856242
665.989746	40	-0.2805314105056505	-0.9598440042371464
667.568701	40	-0.2806984048333135	-0.9597951979562097
669.147559	40	-0.28086175329728436	-0.9597474266061631
670.72627	40	-0.28102575695252724	-0.959699433137665
672.304883	40	-0.28119043200160854	-0.9596512124355258
673.883447	40	-0.28135579478130796	-0.9596027593313635
675.461816	40	-0.2815130583697573	-0.9595566504886444
677.040137	40	-0.2816706681296897	-0.9595104119585971
678.618311	40	-0.2818286113552393	-0.9594640473036129
680.196387	40	-0.2819867223150753	-0.9594176050552384
681.774365	40	-0.28214265039332426	-0.9593717761504257
683.352246	40	-0.2822931934409718	-0.9593275036304747
684.92998	40	-0.2824440069660028	-0.9592831257615353
686.507617	40	-0.2825954204358789	-0.9592385453312137
688.085107	40	-0.2827477549690258	-0.9591936673606459
689.662549	40	-0.2828970913443865	-0.9591496468923434
691.239795	40	-0.2830432599141767	-0.959106535499997
692.816992	40	-0.28319039963315473	-0.9590631130814035
694.394043	40	-0.2833382076376432	-0.9590194686279537
695.970996	40	-0.2834863934806546	-0.9589756876621699
697.547852	40	-0.2836298298067878	-0.9589332860645603
699.124561	40	-0.28376990932193247	-0.9588918541485678
700.701172	40	-0.28391039526042383	-0.9588502795977778
702.277637	40	-0.2840515781496796	-0.9588084761406666
703.854004	40	-0.28419375813130165	-0.9587663544692565
705.430225	40	-0.2843322153644505	-0.9587253134294633
707.006396	40	-0.2844680272140107	-0.9586850352009394
708.582373	40	-0.2846048235451841	-0.9586444437278707
710.158301	40	-0.28474234993932734	-0.9586036141236829
711.734033	40	-0.2848803256849067	-0.9585626294702194
713.309717	40	-0.28501490026212656	-0.9585226341724378
714.885254	40	-0.28514470432732064	-0.9584840370465952
716.460645	40	-0.2852749005051418	-0.9584453040529884
718.035938	40	-0.2854057592066518	-0.9584063544850046
719.611133	40	-0.2855375477678377	-0.9583671083900667
721.186182	40	-0.2856690458096689	-0.9583279290051863
722.761084	40	-0.28579421626967433	-0.958290616424503
724.335937	40	-0.28592051815442066	-0.9582529484252769
725.910596	40	-0.2860476981784538	-0.9582150001288834
727.485156	40	-0.2861755215859578	-0.958176841266764
729.059619	40	-0.28630374543420906	-0.9581385441505704
730.633936	40	-0.28642540182904475	-0.9581021911258196
732.208105	40	-0.2865453831961454	-0.9580663220770835
733.782178	40	-0.28666587785437164	-0.9580302830532552
735.356152	40	-0.2867871261014768	-0.9579940019024351
736.92998	40	-0.2869093655195329	-0.957957407151727
738.503662	40	-0.2870305875568971	-0.9579211000448585
740.077246	40	-0.287146671593052	-0.9578863159256015
741.650684	40	-0.28726371608856405	-0.9578512284157745
743.224023	40	-0.2873813752449249	-0.9578159408834319
744.797217	40	-0.28749929536850777	-0.957780559249143
746.370264	40	-0.2876171250783915	-0.9577451889281964
747.943213	40	-0.28773058035890464	-0.9577111166276244
749.516016	40	-0.2878411499502547	-0.9576778967367123
751.088721	40	-0.2879518174646587	-0.9576446334767941
752.661279	40	-0.28806300709256977	-0.9576111992025447
754.23374	40	-0.28817515113241193	-0.957577463613656
755.806055	40	-0.2882886759829175	-0.957543297962525
757.378223	40	-0.2883960224361892	-0.9575109780222563
758.950293	40	-0.2885033155954624	-0.9574786608883543
760.522217	40	-0.2886121998800748	-0.9574458510023006
762.093994	40	-0.28872251660064935	-0.957412595625326
763.665674	40	-0.288834110351195	-0.9573789411002733
765.237256	40	-0.2889468218163422	-0.9573449350225302
766.808643	40	-0.2890512219602424	-0.9573134235062581
768.379932	40	-0.28915503929478376	-0.9572820755354521
769.951123	40	-0.28925935756229404	-0.9572505639059706
771.522119	40	-0.2893639444217228	-0.9572189586727577
773.093018	40	-0.28946857996594716	-0.957187326241368
774.663818	40	-0.2895730370951788	-0.9571557352978264
776.234473	40	-0.2896722261854441	-0.9571257258414618
777.80498	40	-0.28976989946038484	-0.9570961639757526
779.375342	40	-0.28986775396156683	-0.9570665363417347
780.945605	40	-0.2899661558359891	-0.9570367319386055
782.515723	40	-0.2900654662878091	-0.9570066410983978
784.085742	40	-0.290166053152149	-0.9569761519769053
