wavelength	mse
350.397168	5410.456006598698
351.986475	5413.390492730282
353.575781	5415.766943523475
355.165088	5417.768969328503
356.75437	5419.223466929105
358.343628	5419.94432296115
359.932886	5420.406653403363
361.522144	5420.873750976702
363.111377	5421.3891020202545
364.70061	5422.035461912553
366.289819	5422.576043012677
367.879028	5423.0524442153755
369.468213	5423.643043309476
371.057397	5424.808118271584
372.646582	5427.571011207984
374.235718	5432.040455926789
375.824878	5437.026503765701
377.414014	5440.451941488711
379.003125	5441.977142601166
380.592236	5442.439981731383
382.181323	5443.186538495002
383.77041	5444.08718099303
385.359473	5444.69566825024
386.948535	5445.190103508281
388.537573	5446.670947912462
390.126587	5450.204669193182
391.715601	5454.882884810354
393.30459	5459.979547147809
394.893579	5464.325583283245
396.482544	5467.746454809674
398.071484	5469.595021914158
399.660425	5470.450837388514
401.249341	5470.928353847323
402.838232	5471.448240407078
404.4271	5472.167728239739
406.015967	5473.021906179837
407.60481	5473.857205391747
409.193652	5474.50093033275
410.782471	5475.004094092675
412.37124	5475.4513421390775
413.96001	5475.942036293518
415.548779	5476.606503724353
417.1375	5478.108273733308
418.726221	5480.479599375505
420.314893	5483.568893505529
421.903564	5487.291323281661
423.492236	5491.738817821687
425.080859	5496.654954146344
426.669482	5501.779366387921
428.258057	5506.831744481943
429.846582	5511.505713674512
431.435156	5515.434297147311
433.023633	5519.224233824586
434.612158	5522.736514240033
436.200586	5525.516031531253
437.789063	5527.32511799409
439.377441	5528.307663306977
440.965869	5528.882222983128
442.554199	5529.334927842979
444.142529	5529.769945162247
445.730859	5530.235701262419
447.319141	5530.754998877311
448.907373	5531.401082927081
450.495605	5532.141175055617
452.083789	5532.975404145035
453.671973	5533.838662585291
455.260107	5534.655912195435
456.848193	5535.451629091588
458.436279	5536.149264044511
460.024316	5536.705875080816
461.612305	5537.223655282392
463.200293	5537.65714427823
464.788232	5538.085591353637
466.376172	5538.513283743326
467.964014	5539.067746615942
469.551855	5539.751783881547
471.139697	5540.63936021748
472.727441	5542.182900883963
474.315186	5543.927589305459
475.902881	5545.880819507447
477.490527	5547.8235782536585
479.078174	5551.012640411031
480.665771	5554.533057615412
482.25332	5558.23493198615
483.84082	5562.244779783817
485.428271	5566.73209780522
487.015723	5571.381444791045
488.603125	5576.367892461583
490.19043	5581.509662988654
491.777734	5586.642448749148
493.36499	5591.787991621492
494.952246	5596.839270176334
496.539404	5601.672287678174
498.126514	5606.247301429711
499.713623	5610.823717459737
501.300684	5615.253045602272
502.887646	5619.360786380485
504.474609	5623.197254782572
506.061523	5626.798350184178
507.64834	5630.135939249732
509.235156	5633.211471870251
