wavelength	mse
350.397168	1517.1262308831517
351.986475	1520.0318996653004
353.575781	1522.3862451729242
355.165088	1524.3712168268014
356.75437	1525.8171345358057
358.343628	1526.5459247425579
359.932886	1527.0307359150502
361.522144	1527.526327132614
363.111377	1528.0745240751705
364.70061	1528.7598970658748
366.289819	1529.3345528508567
367.879028	1529.8401058778256
369.468213	1530.4431920001043
371.057397	1531.6048642965566
372.646582	1534.3411819402645
374.235718	1538.766714707466
375.824878	1543.703513494826
377.414014	1547.0933517497815
379.003125	1548.607661726809
380.592236	1549.094345027587
382.181323	1549.8903115052947
383.77041	1550.8462378543647
385.359473	1551.5001599599027
386.948535	1552.015852748963
388.537573	1553.4855298383104
390.126587	1556.9772224613478
391.715601	1561.600264482328
393.30459	1566.6368739752015
394.893579	1570.9300068624277
396.482544	1574.3082950150877
398.071484	1576.1375822978853
399.660425	1576.9980026367439
401.249341	1577.5004596152176
402.838232	1578.0667598130167
404.4271	1578.8442973099015
406.015967	1579.7622776404767
407.60481	1580.661203186873
409.193652	1581.3608093727723
410.782471	1581.910971155263
412.37124	1582.3890634961995
413.96001	1582.904424205139
415.548779	1583.5819579783288
417.1375	1585.0702021332254
418.726221	1587.4105740192313
420.314893	1590.4571776881537
421.903564	1594.127683253255
423.492236	1598.5136277570714
425.080859	1603.362262998967
426.669482	1608.4164082172908
428.258057	1613.3989996481862
429.846582	1618.0073551308083
431.435156	1621.8795846228634
433.023633	1625.6148040119722
434.612158	1629.0760621963761
436.200586	1631.815738780711
437.789063	1633.603247715725
439.377441	1634.586396675252
440.965869	1635.1804390546727
442.554199	1635.6647915557196
444.142529	1636.1424770030455
445.730859	1636.6576043018792
447.319141	1637.2323150918667
448.907373	1637.9428342897413
450.495605	1638.7524981184724
452.083789	1639.6607650716433
453.671973	1640.599532983645
455.260107	1641.4906419761116
456.848193	1642.3595373379474
458.436279	1643.125898827617
460.024316	1643.742768388388
461.612305	1644.3178114641864
463.200293	1644.7964598994536
464.788232	1645.2675002116216
466.376172	1645.7363038502122
467.964014	1646.3127422243513
469.551855	1647.0105457253985
471.139697	1647.9024454246999
472.727441	1649.4294027928447
474.315186	1651.1524056531641
475.902881	1653.079031891091
477.490527	1654.9953602560504
479.078174	1658.133857138559
480.665771	1661.5981660666441
482.25332	1665.2409512584597
483.84082	1669.1868981144237
485.428271	1673.60328546685
487.015723	1678.1792996427444
488.603125	1683.0877025042828
490.19043	1688.1492200099685
491.777734	1693.2017068981836
493.36499	1698.266624182129
494.952246	1703.2383648656503
496.539404	1707.9946300218191
498.126514	1712.4963226714544
499.713623	1716.999260317724
501.300684	1721.357072641205
502.887646	1725.397900053155
504.474609	1729.1714982378471
506.061523	1732.7133681973673
507.64834	1735.996008713259
509.235156	1739.0210635466624
510.821924	1741.8582216931354
512.408643	1744.0713189858407
513.995264	1746.3026789251007
515.581885	1747.7458012577717
517.168457	1748.9373940491616
518.754932	1750.1144608753991
520.341406	1751.357138015645
521.927783	1752.3124520899707
523.51416	1753.0263675097947
525.100439	1753.7662912077124
526.68667	1754.444019412352
528.272852	1754.9640195927361
529.858984	1755.4985708735983
531.445068	1755.9650995575805
533.031055	1756.4464645672547
534.616992	1756.9437319368155
536.202881	1757.4983073598773
537.788721	1758.0674079941675
539.374512	1758.7332543358773
540.960254	1759.382107144956
542.545898	1760.0504130362324
544.131494	1760.819724600731
545.716992	1761.5684295683611
547.30249	1762.4205212114623
548.887891	1763.2645306119512
550.473242	1764.0967132639396
552.058496	1764.9726662140833
553.643701	1765.9002057930272
555.228857	1766.8309660270281
556.813965	1767.7604259090367
558.398975	1768.6849967440992
559.983936	1769.5849532212571
561.568799	1770.5024206974904
563.153613	1771.31995511807
564.73833	1772.1291809609797
566.322998	1772.952699451952
567.907617	1773.7477834685853
569.492139	1774.5625646992562
571.076611	1775.2677792697764
572.660986	1775.9476434925825
574.245313	1776.608813788915
575.829541	1777.2947214740607
577.413672	1777.9762439929902
578.997803	1778.641216332982
580.581787	1779.1197185837527
582.165723	1779.6002731925907
583.749609	1780.084490508502
585.333398	1780.548682307321
586.91709	1781.0127383721533
588.500684	1781.4782947909346
590.084229	1781.9525946496224
591.667725	1782.6115214777665
593.251123	1783.2747730842334
594.834424	1783.7516369563145
596.417627	1784.3610731640722
598.000781	1784.843983860953
599.583838	1785.8281124308617
601.166797	1786.7569426681534
602.749707	1787.5685747726452
604.33252	1788.9101965677496
605.915234	1789.814545301527
607.497852	1790.665157599688
609.08042	1791.8096184628978
610.662891	1792.851662165544
612.245264	1794.3001655490302
613.827539	1796.1483050867967
615.409717	1797.4957546854373
616.991846	1799.023458247321
618.573877	1800.958312229406
620.155762	1802.9512291768908
621.737598	1804.5854963925685
623.319385	1807.0736452780457
624.901025	1809.300593692386
626.482568	1811.623467870533
628.064063	1814.0469954399478
629.64541	1816.4319070196505
631.226709	1818.7176384895406
632.807861	1821.8070957907557
634.388965	1825.152562383562
635.969971	1828.3078795024144
637.55083	1831.2885745987642
639.131641	1834.5394134870653
640.712354	1837.7017786119354
642.29292	1840.8573452134888
643.873438	1845.3812611508765
645.453857	1849.8149421158312
647.034131	1853.6453162280204
648.614355	1857.6721860447435
650.194434	1861.0228601079746
651.774414	1865.4888813688294
653.354346	1869.9668187171376
654.934131	1874.1857236989454
656.513818	1878.2508440807937
658.093408	1882.9438844852161
659.6729	1887.4816482203348
661.252246	1892.3215268329784
662.831543	1897.0373614098673
664.410693	1901.5211316684606
665.989746	1906.0301453654658
667.568701	1910.9280585090687
669.147559	1915.9869563971959
670.72627	1921.0195048098278
672.304883	1926.04632237441
673.883447	1930.946765795831
675.461816	1935.700391285909
677.040137	1940.7626300181662
678.618311	1945.8118599586599
680.196387	1950.7756114548636
681.774365	1955.7763014081836
683.352246	1960.7623289594826
684.92998	1965.6609807328316
686.507617	1970.7340580407854
688.085107	1975.753995113201
689.662549	1980.4223037754407
691.239795	1985.3328856110688
692.816992	1989.8672950593439
694.394043	1994.8054852687906
695.970996	1999.7796194206278
697.547852	2004.6290199370192
699.124561	2009.3797590054344
700.701172	2014.2448137614742
702.277637	2018.3603374226586
703.854004	2022.9297612693354
705.430225	2027.3885659555433
707.006396	2032.0367436912275
708.582373	2036.413460765467
710.158301	2039.9487581188573
711.734033	2044.3856143107123
713.309717	2049.105037630298
714.885254	2052.7554218619607
716.460645	2056.964800288209
718.035938	2061.5079377863635
719.611133	2065.1101580126865
721.186182	2069.8596282800586
722.761084	2074.592778600771
724.335937	2078.2741441920884
725.910596	2080.8539309217053
727.485156	2084.8249260124335
729.059619	2088.534094370894
730.633936	2091.9807513720707
732.208105	2094.892885769773
733.782178	2097.9546577392275
735.356152	2101.2387361545634
736.92998	2105.1834772681104
738.503662	2109.163162186244
