wavelength	aoi	alpha	beta
350.397168	50	-0.2532855909072497	-0.9582127158213342
351.986475	50	-0.2519697982669779	-0.9588389258986553
353.575781	50	-0.25042137157801686	-0.9595595777829389
355.165088	50	-0.24866442373692388	-0.9603750165241356
356.75437	50	-0.24674342285091164	-0.9612789119458989
358.343628	50	-0.244716350521849	-0.9622596865656178
359.932886	50	-0.24270944962940855	-0.963289982434948
361.522144	50	-0.24079367149348607	-0.9643486980668207
363.111377	50	-0.23909513392144968	-0.9654025012939864
364.70061	50	-0.23780207959125568	-0.9664010432054749
366.289819	50	-0.23727819089695532	-0.9672253670484637
367.879028	50	-0.23762725338652518	-0.9678297602037104
369.468213	50	-0.23906491462492827	-0.9681303828328754
371.057397	50	-0.24169442868026422	-0.9680588402851741
372.646582	50	-0.24530809223588734	-0.9676353307903569
374.235718	50	-0.2498203163698369	-0.9668745701431137
375.824878	50	-0.2549749713660419	-0.9658314843487249
377.414014	50	-0.2602797742094175	-0.9646446913482115
379.003125	50	-0.265698479218099	-0.963338112297246
380.592236	50	-0.27103329794726216	-0.9619787701199723
382.181323	50	-0.2761561747551495	-0.9606198112481366
383.77041	50	-0.28109026376334506	-0.9592641590625295
385.359473	50	-0.2858178668866499	-0.9579255759670597
386.948535	50	-0.2903307751324667	-0.9566149146509323
388.537573	50	-0.2946332411951099	-0.9553361284695833
390.126587	50	-0.29872302307957294	-0.9540949835997057
391.715601	50	-0.30260207398636	-0.952896285387495
393.30459	50	-0.3062790448639565	-0.9517408058650086
394.893579	50	-0.30976042362587725	-0.9506300481056575
396.482544	50	-0.3130664793783032	-0.9495609627810403
398.071484	50	-0.3162064889693662	-0.9485325677160406
399.660425	50	-0.31920047096881643	-0.9475405690544959
401.249341	50	-0.32206555904184303	-0.946580942131838
402.838232	50	-0.32481303766971664	-0.9456512236937592
404.4271	50	-0.3274629689639519	-0.9447457882240523
406.015967	50	-0.3300237287603769	-0.9438626204171807
407.60481	50	-0.33250575891816736	-0.9429989040950265
409.193652	50	-0.3349143071808196	-0.9421534641401083
410.782471	50	-0.33725948305209225	-0.9413233404971014
412.37124	50	-0.33954768212690284	-0.9405067125431633
413.96001	50	-0.3417819823834693	-0.9397029610039982
415.548779	50	-0.34396450515089694	-0.9389117271112241
417.1375	50	-0.3461004249246543	-0.9381315093454338
418.726221	50	-0.3481941490243525	-0.9373610570661567
420.314893	50	-0.3502367464386419	-0.93660400294915
421.903564	50	-0.35224094228132774	-0.9358559923373947
423.492236	50	-0.35420220296015426	-0.935118991183784
425.080859	50	-0.3561271604894224	-0.9343908272681898
426.669482	50	-0.35800750138906395	-0.9336749293757692
428.258057	50	-0.35984957772204135	-0.932969189965107
429.846582	50	-0.3616532270665784	-0.9322739352660654
431.435156	50	-0.3634208292048659	-0.9315885017582272
433.023633	50	-0.36515424239656863	-0.9309124097427478
434.612158	50	-0.36684812210929896	-0.9302479946309936
436.200586	50	-0.36850807068118807	-0.929593303975239
437.789063	50	-0.3701301859417632	-0.928950098318841
439.377441	50	-0.37172363723710183	-0.9283149556662164
440.965869	50	-0.3732801893692967	-0.9276913544603917
442.554199	50	-0.3748082553934608	-0.9270761293550885
444.142529	50	-0.37629608988923924	-0.9264742080856189
445.730859	50	-0.3777571781841318	-0.9258803305750871
447.319141	50	-0.3791861304459422	-0.9252968444874703
448.907373	50	-0.38059156564903196	-0.9247203909714125
450.495605	50	-0.38195956828246014	-0.9241568428057144
452.083789	50	-0.3833020322426258	-0.9236014674754749
453.671973	50	-0.3846164610885616	-0.923055430261514
455.260107	50	-0.38590879973327696	-0.9225163915234545
456.848193	50	-0.38716964733571835	-0.9219884082229293
458.436279	50	-0.38840404007391566	-0.9214695120137566
460.024316	50	-0.38961585649229935	-0.9209581860947142
461.612305	50	-0.39080570019564437	-0.9204542788736705
463.200293	50	-0.39197374017475034	-0.9199578220684861
464.788232	50	-0.3931124518537398	-0.919472129017781
466.376172	50	-0.39423354355574847	-0.9189923089300526
467.964014	50	-0.395327665272033	-0.9185224575351453
469.551855	50	-0.39640949217294214	-0.9180563564319372
471.139697	50	-0.3974645699231474	-0.9176003138181339
472.727441	50	-0.39850658471464195	-0.9171484952973669
474.315186	50	-0.3995251945708106	-0.9167054594954541
475.902881	50	-0.4005261019973583	-0.9162688066281426
477.490527	50	-0.40151088748070396	-0.9158379120407107
479.078174	50	-0.4024750925566408	-0.9154147964146969
480.665771	50	-0.40342755456807117	-0.914995641744707
482.25332	50	-0.4043533737004569	-0.9145870765010705
483.84082	50	-0.40526895716836225	-0.9141819249610682
485.428271	50	-0.40616687709566734	-0.9137835232282987
487.015723	50	-0.40705296876240754	-0.9133893326917611
488.603125	50	-0.4079280694027226	-0.9129990199065043
490.19043	50	-0.40878393484600845	-0.9126163142211746
491.777734	50	-0.4096313945330436	-0.9122364181235679
493.36499	50	-0.410457435478478	-0.9118652156186893
494.952246	50	-0.4112737579806431	-0.9114974969810499
496.539404	50	-0.412080997822778	-0.9111330044290807
498.126514	50	-0.4128748332576093	-0.9107737249406144
499.713623	50	-0.4136631930027062	-0.910416098605804
501.300684	50	-0.4144300723301577	-0.9100674303056587
502.887646	50	-0.4151856123148728	-0.909723157083185
504.474609	50	-0.41593089728109295	-0.9093828158467893
506.061523	50	-0.4166614785212928	-0.9090484743147794
507.64834	50	-0.4173891037801798	-0.9087147794741539
509.235156	50	-0.4181050683579748	-0.9083857448519108
510.821924	50	-0.4188130657464034	-0.9080597001491392
512.408643	50	-0.4195150033821701	-0.9077357867032013
513.995264	50	-0.4201945115186192	-0.9074216004634836
515.581885	50	-0.420867699119981	-0.9071097290552323
517.168457	50	-0.4215337672028496	-0.9068005593513588
518.754932	50	-0.42218988004126046	-0.9064954296466907
520.341406	50	-0.4228453092038267	-0.9061900403958514
521.927783	50	-0.42348961440696453	-0.9058892730814527
