wavelength	mse
350.397168	2264.1067775581064
351.986475	2264.937882958217
353.575781	2265.684498328006
355.165088	2266.414169277219
356.75437	2267.204451210878
358.343628	2268.4593664167596
359.932886	2270.5216688177684
361.522144	2273.037534858785
363.111377	2275.9291852284236
364.70061	2279.409612805796
366.289819	2282.4195028593026
367.879028	2284.997051070776
369.468213	2286.470597667911
371.057397	2287.3779441460406
372.646582	2288.260335259959
374.235718	2289.68259259888
375.824878	2291.312383049505
377.414014	2292.351810547466
379.003125	2293.156533999776
380.592236	2295.1605574070954
382.181323	2299.0581034795177
383.77041	2303.4366495582817
385.359473	2306.8664710947746
386.948535	2308.6642413828326
388.537573	2309.4662356204153
390.126587	2310.47596573223
391.715601	2311.874535389484
393.30459	2313.4353580093034
394.893579	2314.6940463212604
396.482544	2315.650443035599
398.071484	2316.391652076659
399.660425	2317.5092738008907
401.249341	2319.39728189782
402.838232	2322.5248787892533
404.4271	2326.484958649043
406.015967	2330.878883076467
407.60481	2335.2231163953943
409.193652	2338.930869276044
410.782471	2341.9965784967
412.37124	2344.116407273052
413.96001	2345.9376119707613
415.548779	2347.303169155322
417.1375	2348.0823395567522
418.726221	2348.8083406684236
420.314893	2349.6392547987125
421.903564	2350.6275444850885
423.492236	2351.8486400550814
425.080859	2353.2419889104012
426.669482	2354.714940649098
428.258057	2356.155940817768
429.846582	2357.448278483949
431.435156	2358.4839782811155
433.023633	2359.4759428706766
434.612158	2360.389046093516
436.200586	2361.1464614344627
437.789063	2361.864281027032
439.377441	2362.8771605864895
440.965869	2364.4300579055453
442.554199	2366.466702193339
444.142529	2369.0303124531
445.730859	2371.9512329464496
447.319141	2375.217611784336
448.907373	2379.0483257018936
450.495605	2383.216761984242
452.083789	2387.6888727586247
453.671973	2392.2518457318397
455.260107	2396.6779387346187
456.848193	2401.0395926585547
458.436279	2405.0774078164227
460.024316	2408.5550898826864
461.612305	2411.8417140116617
463.200293	2414.4533965694745
464.788232	2416.931316275825
466.376172	2419.332496231566
467.964014	2420.9394123850384
469.551855	2422.28122959328
471.139697	2423.3748974058153
472.727441	2424.1294247484834
474.315186	2424.8445477128107
475.902881	2425.537344782308
477.490527	2426.2304577395776
479.078174	2427.0335827617446
480.665771	2427.911741798011
482.25332	2428.8363092134
483.84082	2429.848366342107
485.428271	2431.014267640868
487.015723	2432.235974187067
488.603125	2433.5810956983187
490.19043	2434.9850824635764
491.777734	2436.3844359321424
493.36499	2437.7876841336883
494.952246	2439.1533038932994
496.539404	2440.435587356961
498.126514	2441.624080172456
499.713623	2442.8121456906183
501.300684	2443.948753214845
502.887646	2444.9803914863264
504.474609	2445.9309817961007
506.061523	2446.817512296994
507.64834	2447.640259929549
509.235156	2448.4088951560584
510.821924	2449.144562599366
512.408643	2449.822227474024
513.995264	2450.499930960153
515.581885	2451.273176067
517.168457	2452.1500572526825
518.754932	2453.034635766706
520.341406	2453.8858353503856
521.927783	2454.9224038205166
523.51416	2456.241944846075
525.100439	2457.5213429351684
526.68667	2458.9031126045943
528.272852	2460.7191412993234
529.858984	2462.473395056893
531.445068	2464.927368659237
533.031055	2467.6419668680824
534.616992	2470.509453136481
536.202881	2473.748034715514
537.788721	2477.0629279331606
539.374512	2480.8028848855392
540.960254	2484.4760784306955
542.545898	2488.2272057694195
544.131494	2492.3429881823845
545.716992	2496.389355095455
547.30249	2500.77350584219
548.887891	2505.133322451756
550.473242	2509.4568083833783
552.058496	2513.9164492173213
553.643701	2518.530382464689
555.228857	2523.154463430666
556.813965	2527.775509277434
558.398975	2532.383027569006
559.983936	2536.9185917894115
561.568799	2541.506726666884
563.153613	2545.7895070964128
564.73833	2550.0462763003948
566.322998	2554.3495107902727
567.907617	2558.5616599071636
569.492139	2562.8383058143772
571.076611	2566.7413274132796
572.660986	2570.5501830083363
574.245313	2574.287096967271
575.829541	2578.120134716514
577.413672	2581.937145151132
578.997803	2585.690826383059
580.581787	2588.3989357048317
582.165723	2591.131513386489
583.749609	2593.9039847861054
585.333398	2596.3148159654415
586.91709	2598.709611444234
588.500684	2600.9894664349295
590.084229	2603.1154716036363
591.667725	2604.5357641577793
593.251123	2605.9476739289466
594.834424	2608.044648893303
596.417627	2609.5731711637013
598.000781	2611.6131848426476
599.583838	2612.6259365960173
601.166797	2613.6867099872197
602.749707	2614.871932649522
604.33252	2615.676851951473
605.915234	2616.7608850028378
607.497852	2617.900808821297
609.08042	2618.8019478381752
610.662891	2619.7701050918495
612.245264	2620.53632060183
613.827539	2621.2186287344775
615.409717	2622.0209044896624
616.991846	2622.763443797403
618.573877	2623.4369123406486
620.155762	2624.1061102444314
621.737598	2624.822649347612
623.319385	2625.49792168056
624.901025	2626.1611853803033
626.482568	2626.826642459489
628.064063	2627.496957139097
629.64541	2628.1649188811753
631.226709	2628.8287863393775
632.807861	2629.5853720436144
634.388965	2630.3950549416923
635.969971	2631.1640586250337
637.55083	2631.900443070996
639.131641	2632.6887433431957
640.712354	2633.4585847667036
642.29292	2634.226885586586
643.873438	2635.379371437405
645.453857	2636.500552976964
647.034131	2637.4326288644825
648.614355	2638.422183153133
650.194434	2639.2310715283197
651.774414	2640.3622854954137
653.354346	2641.497340729859
654.934131	2642.5459898578238
656.513818	2643.5460943232033
658.093408	2644.7561470398186
659.6729	2645.910922087347
661.252246	2647.1741820247707
662.831543	2648.3917220438148
664.410693	2649.52710504742
665.989746	2650.6709529202035
667.568701	2651.954851350106
669.147559	2653.29977264015
670.72627	2654.634294251466
672.304883	2655.9663637098315
673.883447	2657.25023049396
675.461816	2658.47957771174
677.040137	2659.8245483951246
678.618311	2661.1642617598136
680.196387	2662.4710639621694
681.774365	2663.7916879523746
683.352246	2665.1064952223246
684.92998	2666.3880766140624
686.507617	2667.7358226742845
688.085107	2669.062893462016
689.662549	2670.259463685969
691.239795	2671.5446339090295
692.816992	2672.693615672845
694.394043	2673.9887372423736
695.970996	2675.297239250848
697.547852	2676.5587270539686
699.124561	2677.783784898601
700.701172	2679.050677778104
702.277637	2680.0606391051338
703.854004	2681.220442482644
705.430225	2682.3418851271986
707.006396	2683.5290786579717
708.582373	2684.622487953035
710.158301	2685.4689256891475
711.734033	2686.5821852194917
713.309717	2687.794139823161
714.885254	2688.66945879172
716.460645	2689.707415444352
718.035938	2690.8564137825583
719.611133	2691.718854961385
721.186182	2692.9407653690414
722.761084	2694.1565870969985
724.335937	2695.0392098854886
725.910596	2695.714588857427
727.485156	2696.6781752610796
729.059619	2697.567780815577
730.633936	2698.3910157650034
732.208105	2699.1080052402526
733.782178	2699.850247736494
735.356152	2700.636467537701
736.92998	2701.5914681865147
738.503662	2702.5566195488123
740.077246	2703.260940456222
741.650684	2703.9328277881436
743.224023	2704.7395874433923
744.797217	2705.4385492281726
746.370264	2706.13647753218
747.943213	2706.8120712319
749.516016	2707.4680704694556
751.088721	2708.127042139895
752.661279	2708.854998613843
754.23374	2709.554867418319
755.806055	2710.2325578271134
757.378223	2710.894531264528
758.950293	2711.5581733521194
760.522217	2712.3085151420296
762.093994	2712.9639987905184
763.665674	2713.650098528134
765.237256	2714.401044590403
766.808643	2715.168573597289
768.379932	2715.8277949152352
769.951123	2716.538434369771
771.522119	2717.1934450766576
773.093018	2717.9387737111147
774.663818	2718.827661887171
776.234473	2719.891194306634
777.80498	2721.07124246722
779.375342	2722.3077206770654
780.945605	2722.982915495464
782.515723	2723.678748943779
784.085742	2724.356784923953
785.655615	2725.548744633215
787.225342	2727.230014290622
788.794971	2728.371792621779
790.364453	2729.1692088048085
791.933789	2729.861872211384
793.503027	2730.6995765153206
795.07207	2731.9540273915713
796.641064	2732.667647505137
798.209863	2733.601462939805
799.778564	2734.7774154689255
801.347168	2736.823943347069
802.915625	2738.472452992912
804.483936	2739.1314091011927
806.0521	2740.7004098609564
807.620166	2742.76669843037
809.188086	2744.251341037773
810.755859	2745.1045664564285
812.323535	2745.78289686452
813.891064	2747.9358091732947
815.458496	2749.7795078646323
817.025781	2751.2196415739722
818.59292	2752.308415082047
820.159961	2754.5524621528275
821.726855	2757.70931766936
823.293555	2759.2080870075865
824.860254	2760.341299716999
826.426758	2762.301194110785
827.993066	2763.855944742786
829.559375	2766.0524872939245
831.125488	2767.8597428436074
832.691504	2770.612909703975
834.257324	2771.5790960518134
835.823145	2773.514747723097
837.38877	2776.710587099832
838.954199	2778.1528524961245
840.519531	2779.368205804752
842.084863	2781.5073593358934
843.649902	2784.2262940636365
845.214941	2786.610659073988
846.779785	2788.7165438476454
848.344531	2790.5854918744094
849.90918	2791.7962532010356
851.473633	2794.5541526297616
853.037988	2796.327874142415
854.602246	2798.1595944924397
856.166406	2801.619585101271
857.730371	2803.240096151339
859.294238	2806.0665071487124
860.858008	2807.6827479258263
862.421582	2810.8525053651083
863.985156	2813.207899149297
865.548535	2814.4321722413933
867.111816	2816.991695383233
868.675	2821.3485593642345
870.237988	2825.535488385532
871.800879	2828.696316995611
873.363672	2832.0801390666998
874.926367	2835.053889602522
876.488965	2836.693191737326
878.051367	2838.858541548727
879.613672	2842.458338072988
881.175879	2846.615094100503
882.737988	2850.2675489823873
884.3	2852.5508034755026
885.861914	2854.434624579959
887.423633	2857.903090682142
888.985254	2862.235987595947
890.546777	2866.610248319974
892.108203	2871.2267732480163
893.669531	2874.7223191425564
895.230762	2876.942891692673
896.791797	2878.899931790082
898.352832	2882.6446794129624
899.913672	2886.5607604546535
901.474414	2889.2746039867907
903.035059	2893.0729578414075
904.595605	2897.3210014063307
906.156055	2901.9532467670715
907.716406	2905.8955853081447
909.27666	2909.831802913474
910.836816	2914.470002640631
912.396777	2918.998153024854
913.956738	2923.0738652637806
915.516602	2925.42916888924
917.07627	2928.8785799278435
918.635938	2932.656025790486
920.195508	2937.0036922232625
921.754883	2940.6567534060723
923.314258	2943.110258983901
924.873437	2946.6746624161115
926.432617	2950.5577327904234
927.991699	2954.9555432705174
929.550684	2958.1158999742556
931.109473	2961.1479009545424
932.668262	2964.884076634822
934.226953	2969.550930774212
935.785547	2974.180217232035
937.344043	2978.488229331961
938.902539	2982.2708012071653
940.46084	2986.817869883273
942.019141	2991.1237441349663
943.577246	2995.6204562119738
945.135352	2998.922656341647
946.693359	3003.5586127823044
948.25127	3007.56157906512
949.809082	3011.7699849593496
951.366895	3015.4955990960225
952.924609	3019.961863117136
954.482227	3024.51329111843
956.039746	3029.1852595359524
957.597168	3033.665259448403
959.15459	3037.1753640585366
960.711914	3040.4423519017923
962.269141	3044.3847148712375
963.826367	3049.006527429933
965.383398	3053.4940699870253
966.940527	3058.1576627334903
968.497461	3061.8651423702927
970.054395	3064.6565754878334
971.61123	3069.204032241575
973.168066	3073.7890248004865
974.724707	3078.4218012520373
976.281445	3082.9152179662483
977.838086	3086.7868540665963
979.394629	3091.434140625449
980.951074	3095.91658334447
982.50752	3100.5239314898154
984.063965	3105.150656247696
985.620313	3109.823316683985
987.176563	3114.376205689369
988.732812	3118.9942419754357
