wavelength	aoi	alpha	beta
350.397168	75	-0.7659425802919806	-0.49880083062463104
351.986475	75	-0.7646946243764476	-0.5045758472360476
353.575781	75	-0.7631410816925459	-0.511273285314112
355.165088	75	-0.7613525979632606	-0.5189172136746275
356.75437	75	-0.7594338552206434	-0.5274715814602874
358.343628	75	-0.7575101862874601	-0.5368508138105124
359.932886	75	-0.7558547704089041	-0.5468126124152664
361.522144	75	-0.754600694583217	-0.5571675420242271
363.111377	75	-0.7540063558315216	-0.5675941495076968
364.70061	75	-0.7544591237279795	-0.5775826174818375
366.289819	75	-0.7566032394512817	-0.5858995705536861
367.879028	75	-0.7605808586698102	-0.5920257123646737
369.468213	75	-0.7667036088214917	-0.5950476010158942
371.057397	75	-0.7749609904057799	-0.594227249200093
372.646582	75	-0.7847196132057608	-0.58978380070972
374.235718	75	-0.7957044179393483	-0.5819190699673605
375.824878	75	-0.8072803865016518	-0.5712769040034719
377.414014	75	-0.8184907880038402	-0.5593357357022933
379.003125	75	-0.8293189984044513	-0.5463835283044823
380.592236	75	-0.8394615348552374	-0.5331149557309408
382.181323	75	-0.8487896748909227	-0.5200532470005356
383.77041	75	-0.8574080611544904	-0.5072205251589109
385.359473	75	-0.8653471743476475	-0.4947377248330398
386.948535	75	-0.8726532993281447	-0.48269211029375336
388.537573	75	-0.8793757765770062	-0.4711043657825073
390.126587	75	-0.8855521201511993	-0.4600101265751058
391.715601	75	-0.891226861778269	-0.449434747059862
393.30459	75	-0.8964429896118792	-0.43936786914480463
394.893579	75	-0.9012391984810694	-0.42980610414157927
396.482544	75	-0.9056707725329064	-0.42070797382280123
398.071484	75	-0.9097689572752852	-0.4120516273830549
399.660425	75	-0.9135787075026953	-0.4037888910802183
401.249341	75	-0.917136303638884	-0.3958760475033746
402.838232	75	-0.920467597465071	-0.3882839800344213
404.4271	75	-0.923607110909973	-0.3809593419617183
406.015967	75	-0.9265726354814522	-0.37387966718250965
407.60481	75	-0.9293833287094095	-0.3670170090445401
409.193652	75	-0.9320511213765297	-0.3603573142668392
410.782471	75	-0.9345925300149837	-0.35387315220376414
412.37124	75	-0.937018734950971	-0.347546822400394
413.96001	75	-0.9393372158346441	-0.34137038833870903
415.548779	75	-0.9415538654094404	-0.33533816119234283
417.1375	75	-0.943677319974193	-0.32943602528323834
418.726221	75	-0.945715092583152	-0.3236521717648585
420.314893	75	-0.9476615456188586	-0.31801140248155096
421.903564	75	-0.9495318403672172	-0.3124789316136848
423.492236	75	-0.9513242050644004	-0.30706723843042977
425.080859	75	-0.9530473232959134	-0.3017583771567344
426.669482	75	-0.954696165576188	-0.29657532401368314
428.258057	75	-0.9562788211877099	-0.2915007558607811
429.846582	75	-0.9577973392635013	-0.28653515285145437
431.435156	75	-0.9592558044220115	-0.28167199036402174
433.023633	75	-0.9606576970715212	-0.2769062108670252
434.612158	75	-0.9620006834448156	-0.2722525464473364
436.200586	75	-0.9632911293515612	-0.2676956181371304
437.789063	75	-0.9645277636478768	-0.2632460449885223
439.377441	75	-0.9657192359257032	-0.25887866898344847
