wavelength	aoi	alpha	beta
350.397168	70	-0.6248431638667558	-0.7073594257264106
351.986475	70	-0.6228215387532572	-0.71119385709595
353.575781	70	-0.6203990023264555	-0.7156253232905078
355.165088	70	-0.6176326017388558	-0.7206630798830166
356.75437	70	-0.6146172653522042	-0.7262758998606715
358.343628	70	-0.6114723543406969	-0.73239992609512
359.932886	70	-0.6084609411726205	-0.7388703816352222
361.522144	70	-0.6057215053944951	-0.7455594118417965
363.111377	70	-0.6035121122659274	-0.7522573193791424
364.70061	70	-0.6022207261791405	-0.7586391657803679
366.289819	70	-0.6025538279750581	-0.7639283032066422
367.879028	70	-0.6046991162768649	-0.7678111410822877
369.468213	70	-0.6090495179852599	-0.7697255757741067
371.057397	70	-0.615725727814298	-0.7692156069646992
372.646582	70	-0.6242100224080857	-0.7664164733018041
374.235718	70	-0.6342799262299473	-0.7614400616658407
375.824878	70	-0.6453533388016822	-0.7546698895034019
377.414014	70	-0.6564320103455925	-0.7470256610920053
379.003125	70	-0.6674614814306539	-0.7386773047727133
380.592236	70	-0.6780757658031505	-0.7300634053623832
382.181323	70	-0.6880692495239458	-0.7215224769757601
383.77041	70	-0.6975141889561886	-0.713071441119578
385.359473	70	-0.7064039871641445	-0.7047933929513566
386.948535	70	-0.71475067388122	-0.6967510467372603
388.537573	70	-0.7225820284955466	-0.6889636502648184
390.126587	70	-0.7299136010598913	-0.6814608373737022
391.715601	70	-0.7367691546487953	-0.6742656797502695
393.30459	70	-0.7431792040568717	-0.6673769351069916
394.893579	70	-0.7491700259678853	-0.6607978180187564
396.482544	70	-0.7547905190949971	-0.6545048808024149
398.071484	70	-0.7600663991628821	-0.6484875616960996
399.660425	70	-0.7650412202086022	-0.6427164160342189
401.249341	70	-0.7697511989333574	-0.6371643586848587
402.838232	70	-0.7742212963620031	-0.6318139539216976
404.4271	70	-0.7784896832404716	-0.6266301387088659
406.015967	70	-0.7825741680855112	-0.6215991413561301
407.60481	70	-0.7864952853080209	-0.6167029650946807
409.193652	70	-0.7902646399207174	-0.61193322945035
410.782471	70	-0.7939010004956121	-0.6072717326871312
412.37124	70	-0.7974166570538656	-0.6027069867672561
413.96001	70	-0.8008186764288318	-0.5982343835040251
415.548779	70	-0.804112360905717	-0.5938508516996222
417.1375	70	-0.807307422639891	-0.5895470922150193
418.726221	70	-0.8104122098495425	-0.5853153441244139
420.314893	70	-0.8134152238785843	-0.5811746392061177
421.903564	70	-0.8163369055718862	-0.5771002808656108
423.492236	70	-0.8191720664002824	-0.5731022063836994
425.080859	70	-0.8219317988726801	-0.5691678777442722
426.669482	70	-0.8246055968373853	-0.5653150490864904
428.258057	70	-0.827203974694286	-0.5615315796017457
429.846582	70	-0.8297280011741855	-0.5578184967487729
431.435156	70	-0.8321822475814888	-0.5541715623081666
433.023633	70	-0.8345704573653218	-0.5505875785757872
434.612158	70	-0.8368864690093089	-0.5470782414461579
436.200586	70	-0.8391391148560505	-0.543632559549054
437.789063	70	-0.841324186235268	-0.5402591440001921
439.377441	70	-0.8434550544735283	-0.5369394515037892
440.965869	70	-0.8455216630207478	-0.5336910813752931
442.554199	70	-0.8475361504008323	-0.5304969669612918
444.142529	70	-0.849483994129743	-0.5273820853187094
445.730859	70	-0.8513837809161581	-0.5243186313500953
447.319141	70	-0.8532292755101698	-0.5213182182072942
448.907373	70	-0.8550323647928924	-0.5183631099405547
450.495605	70	-0.8567759848810163	-0.5154829020081254
452.083789	70	-0.8584760919166377	-0.5126528824355394
453.671973	70	-0.8601301709962531	-0.5098785586799073
455.260107	70	-0.861746318319308	-0.5071476470315693
456.848193	70	-0.8633134188073853	-0.5044802771680458
458.436279	70	-0.864838400210675	-0.5018660473106542
460.024316	70	-0.8663266011968895	-0.49929694153531323
461.612305	70	-0.8677792555893801	-0.496771865803271
463.200293	70	-0.8691970541672632	-0.494290655564369
464.788232	70	-0.8705714069053723	-0.4918694896655727
466.376172	70	-0.8719169329280304	-0.48948364562262425
467.964014	70	-0.8732228585980109	-0.4871531704476259
469.551855	70	-0.8745070942036862	-0.48484694699099956
471.139697	70	-0.8757528622490468	-0.4825959187722117
472.727441	70	-0.8769767052067227	-0.48037101486573647
474.315186	70	-0.878166823647447	-0.47819443928194055
475.902881	70	-0.8793302582254927	-0.47605412639567257
477.490527	70	-0.8804691517210713	-0.47394679492241887
479.078174	70	-0.8815786744265485	-0.4718820893641403
480.665771	70	-0.8826692774188218	-0.4698411743763727
482.25332	70	-0.8837242300127158	-0.4678560806801785
483.84082	70	-0.8847625324599924	-0.46589171306232
485.428271	70	-0.8857759912681775	-0.4639640791728379
487.015723	70	-0.8867714292786808	-0.4620607197755155
488.603125	70	-0.8877499698525015	-0.4601798936940138
490.19043	70	-0.8887026341235551	-0.458339393723773
