wavelength	aoi	alpha	beta
350.397168	60	-0.40194938488977117	-0.8908147048550462
351.986475	60	-0.4000774684970605	-0.8923962207410971
353.575781	60	-0.3978659045951504	-0.8942183715743299
355.165088	60	-0.3953525354698973	-0.896282718436919
356.75437	60	-0.39260536955328706	-0.898573989419523
358.343628	60	-0.38971231674726126	-0.9010636028246789
359.932886	60	-0.3868657041969821	-0.9036825855540425
361.522144	60	-0.3841718259218721	-0.9063777338511178
363.111377	60	-0.38182208828353315	-0.909064157278489
364.70061	60	-0.38010294209013373	-0.9116127795171838
366.289819	60	-0.37956043879046286	-0.9137178549620725
367.879028	60	-0.3803484912128114	-0.915260389846046
369.468213	60	-0.38278709760995994	-0.9160233716676889
371.057397	60	-0.3870180807430218	-0.9158300537427297
372.646582	60	-0.3927099108146863	-0.9147327466478812
374.235718	60	-0.3997244811500562	-0.9127706926366229
375.824878	60	-0.4076618725137888	-0.9100875984695743
377.414014	60	-0.4157744227597629	-0.907041489625631
379.003125	60	-0.4240099931736577	-0.9036951991880561
380.592236	60	-0.4320740597750715	-0.9002212815763272
382.181323	60	-0.4397815211934508	-0.8967556271990154
383.77041	60	-0.4471717443642834	-0.8933055699908158
385.359473	60	-0.4542228965276587	-0.8899058770094336
386.948535	60	-0.4609275514477379	-0.8865836732808943
388.537573	60	-0.4672955192580371	-0.883348503562417
390.126587	60	-0.4733269928676753	-0.880214418331431
391.715601	60	-0.479028554976868	-0.87719294488351
393.30459	60	-0.4844157218623289	-0.8742854425815836
394.893579	60	-0.48950079565129156	-0.8714951062693637
396.482544	60	-0.49431603570018146	-0.8688137151260164
398.071484	60	-0.4988768468577917	-0.8662383167208567
399.660425	60	-0.5032142139181444	-0.8637577055461261
401.249341	60	-0.5073544568907872	-0.8613614346296745
402.838232	60	-0.51131512951583	-0.8590430207963128
404.4271	60	-0.5151262324896716	-0.8567881539347023
406.015967	60	-0.5188006560152069	-0.8545915828534837
407.60481	60	-0.5223541444668767	-0.8524460989340019
409.193652	60	-0.525794863499146	-0.8503486036791782
410.782471	60	-0.5291378364784158	-0.8482915962316389
412.37124	60	-0.5323926473899956	-0.8462704344076044
413.96001	60	-0.5355641366649767	-0.844283465574345
415.548779	60	-0.5386557269978879	-0.8423296905556034
417.1375	60	-0.5416751272274504	-0.840405299080048
418.726221	60	-0.5446289173861293	-0.8385071161391713
420.314893	60	-0.5475048501762274	-0.8366439938498469
421.903564	60	-0.5503211941146422	-0.8348051209654158
423.492236	60	-0.5530718667675798	-0.8329952487128657
425.080859	60	-0.5557664772556943	-0.8312089612345437
426.669482	60	-0.5583936799192777	-0.8294545859926271
428.258057	60	-0.5609626590903986	-0.8277268700675001
429.846582	60	-0.5634734597165832	-0.826026532683394
431.435156	60	-0.5659296556595731	-0.8243518741939531
433.023633	60	-0.5683340745172376	-0.8227016508746616
434.612158	60	-0.570679559490934	-0.8210814859181165
436.200586	60	-0.5729741202097258	-0.8194865411864032
437.789063	60	-0.5752125980318415	-0.8179210310892467
439.377441	60	-0.5774078674285968	-0.8163765586211035
440.965869	60	-0.5795487916534707	-0.8148615155679813
442.554199	60	-0.581647154938891	-0.8133681446405293
444.142529	60	-0.5836870420258249	-0.8119083362630408
445.730859	60	-0.5856871499055705	-0.810469264640025
447.319141	60	-0.5876402728457851	-0.8090565604922226
448.907373	60	-0.589558360108585	-0.8076620369531886
450.495605	60	-0.5914225989102091	-0.806299840327205
452.083789	60	-0.5932493794108262	-0.8049584682799906
453.671973	60	-0.5950354518259253	-0.8036406839680593
455.260107	60	-0.5967890343097496	-0.802340793568077
456.848193	60	-0.5984975184035662	-0.8010685291472319
458.436279	60	-0.6001678838337723	-0.7998190917621121
460.024316	60	-0.601805505980194	-0.7985887837342673
461.612305	60	-0.6034113147664361	-0.7973771999931071
463.200293	60	-0.6049856509871265	-0.7961843773156528
464.788232	60	-0.6065185011457574	-0.7950182294509799
466.376172	60	-0.6080257415586292	-0.7938669712964042
467.964014	60	-0.6094949081132075	-0.7927403904939219
469.551855	60	-0.6109457996364017	-0.7916235430982825
471.139697	60	-0.612359121421515	-0.7905315110962041
472.727441	60	-0.6137532982935587	-0.7894502895181542
474.315186	60	-0.6151145761264813	-0.7883907568338108
475.902881	60	-0.6164506673362831	-0.7873471390603546
477.490527	60	-0.6177637552897997	-0.7863179157213401
479.078174	60	-0.6190479745099339	-0.7853078832333064
480.665771	60	-0.6203151637436883	-0.7843079017201959
482.25332	60	-0.6215455808388411	-0.7833337535128587
483.84082	60	-0.6227611061843176	-0.7823682998841304
485.428271	60	-0.6239519346542431	-0.7814194693507469
487.015723	60	-0.6251258632612866	-0.7804811934534843
488.603125	60	-0.6262840456176606	-0.7795526619699729
490.19043	60	-0.6274156301183051	-0.7786427238148208
491.777734	60	-0.628534987197259	-0.7777399516832582
493.36499	60	-0.6296249861678632	-0.7768583057955181
494.952246	60	-0.6307011229584754	-0.7759853893776228
496.539404	60	-0.6317642690442115	-0.7751205777736471
498.126514	60	-0.6328087733898582	-0.7742685696046419
499.713623	60	-0.6338451014687382	-0.7734209100468435
501.300684	60	-0.6348522642747075	-0.7725948940654761
502.887646	60	-0.6358436370063811	-0.7717796880955874
504.474609	60	-0.6368206788372099	-0.7709741809715429
506.061523	60	-0.6377775998486379	-0.7701832493555593
507.64834	60	-0.6387298153335221	-0.7693942185973351
509.235156	60	-0.6396659580572698	-0.768616569687865
510.821924	60	-0.6405908891274633	-0.7678463421833436
512.408643	60	-0.6415071230184735	-0.767081499036009
513.995264	60	-0.642393340025672	-0.7663399569036717
515.581885	60	-0.6432705934070826	-0.765604202018218
517.168457	60	-0.6441378619076642	-0.7648751391172934
518.754932	60	-0.6449914790858441	-0.7641559135323037
520.341406	60	-0.6458435223953268	-0.7634363848368294
521.927783	60	-0.6466804383135115	-0.7627280474511472
523.51416	60	-0.6475038547866924	-0.7620296005615083
525.100439	60	-0.6483199360985326	-0.7613358688262466
526.68667	60	-0.649113103213817	-0.7606601800432701
528.272852	60	-0.6498953617594719	-0.7599923900620817
529.858984	60	-0.6506748565485616	-0.7593255729846977
531.445068	60	-0.6514381727875808	-0.7586712520850424
533.031055	60	-0.6522004966441453	-0.7580164483466223
534.616992	60	-0.6529579966356701	-0.7573644682411601
536.202881	60	-0.6536912556327754	-0.7567321045017823
537.788721	60	-0.6544200760380292	-0.7561023417766809
539.374512	60	-0.6551427867185441	-0.7554766470128639
540.960254	60	-0.6558477992147632	-0.7548651114087233
542.545898	60	-0.6565504070727954	-0.7542545121329829
544.131494	60	-0.6572475301515818	-0.7536475432027047
545.716992	60	-0.6579267611672629	-0.7530550649586694
547.30249	60	-0.6586030296692087	-0.7524640982890484
548.887891	60	-0.6592735053158748	-0.7518771360004094
550.473242	60	-0.6599262727979933	-0.7513046644559412
552.058496	60	-0.660575897682572	-0.750733952535262
553.643701	60	-0.6612225756063064	-0.7501648392258347
555.228857	60	-0.6618519686999252	-0.7496099884958952
556.813965	60	-0.6624808006420433	-0.7490546919407265
558.398975	60	-0.6631097942728997	-0.7484983095837195
559.983936	60	-0.6637209923895191	-0.7479567679637119
561.568799	60	-0.6643298353701232	-0.747416424801694
563.153613	60	-0.6649370510419831	-0.7468766414343242
564.73833	60	-0.6655292826514239	-0.7463493284966912
566.322998	60	-0.666112918336686	-0.7458288459081847
567.907617	60	-0.6666934146362211	-0.7453103494844888
569.492139	60	-0.6672646758390235	-0.7447993081859886
571.076611	60	-0.6678257133252732	-0.7442966444021271
572.660986	60	-0.6683867014348805	-0.743793259933272
574.245313	60	-0.6689475259713047	-0.7432892551038977
575.829541	60	-0.6694936721773762	-0.742797705622267
577.413672	60	-0.6700407668145011	-0.7423045706217003
578.997803	60	-0.6705863527469209	-0.7418120665715346
580.581787	60	-0.6711155566883101	-0.7413336572187228
582.165723	60	-0.6716365307265214	-0.7408620182855088
583.749609	60	-0.6721560468637723	-0.7403910341205442
585.333398	60	-0.6726714597305414	-0.7399231113330058
586.91709	60	-0.6731760947773838	-0.7394643366602374
588.500684	60	-0.6736818547458862	-0.739003904911
590.084229	60	-0.6741881878577359	-0.7385423145760507
591.667725	60	-0.6746798876818171	-0.7380934568513836
593.251123	60	-0.6751662120542093	-0.7376489148533959
594.834424	60	-0.6756514831643359	-0.7372047478305607
596.417627	60	-0.6761327161701354	-0.7367636963626395
598.000781	60	-0.6765997188543794	-0.7363351334509319
599.583838	60	-0.6770654343517956	-0.7359072075536215
601.166797	60	-0.6775304648199606	-0.7354793673574336
602.749707	60	-0.6779874767035847	-0.7350583737664044
604.33252	60	-0.6784373310403452	-0.7346434584789114
605.915234	60	-0.6788881911127987	-0.7342271013873675
607.497852	60	-0.6793406039235047	-0.7338087916718117
609.08042	60	-0.6797806551975271	-0.7334014137209505
610.662891	60	-0.6802177699200391	-0.7329962667723646
612.245264	60	-0.6806544982850496	-0.7325909925371373
613.827539	60	-0.681089390580323	-0.7321869403305183
615.409717	60	-0.6815072518106822	-0.7317982578095628
616.991846	60	-0.6819233548629774	-0.7314107679872853
618.573877	60	-0.6823399356747395	-0.7310223885669705
620.155762	60	-0.6827571572219652	-0.7306329638241142
621.737598	60	-0.6831618373192054	-0.7302548162637176
623.319385	60	-0.6835692181261926	-0.7298737174145962
624.901025	60	-0.683977941751901	-0.7294909315472132
626.482568	60	-0.6843840847478623	-0.7291101356054126
628.064063	60	-0.6847732457116074	-0.728744863785578
629.64541	60	-0.6851617502737094	-0.7283798173293355
631.226709	60	-0.6855500849826823	-0.7280145393403678
632.807861	60	-0.6859371586624535	-0.7276500573636329
634.388965	60	-0.6863107803736809	-0.7272978716138451
635.969971	60	-0.686685107282758	-0.7269446559015765
637.55083	60	-0.6870601554731676	-0.7265903924776625
639.131641	60	-0.6874359762278955	-0.7262350302153358
640.712354	60	-0.6877960021554137	-0.7258942562094908
642.29292	60	-0.6881563340454308	-0.7255528521171999
643.873438	60	-0.6885174902648804	-0.7252103246395967
645.453857	60	-0.6888794848943787	-0.7248666575019816
647.034131	60	-0.6892301106944421	-0.7245334539031225
648.614355	60	-0.6895774594063162	-0.72420304463108
650.194434	60	-0.6899249884768458	-0.723872145081918
651.774414	60	-0.6902723340783574	-0.7235411015040124
653.354346	60	-0.6906129272773129	-0.72321618287806
654.934131	60	-0.6909457235828378	-0.7228984046613561
656.513818	60	-0.6912788221005353	-0.722580043584839
658.093408	60	-0.6916129688294682	-0.7222603840182671
659.6729	60	-0.6919478647782124	-0.7219397087327546
661.252246	60	-0.6922693279568228	-0.7216316131525304
662.831543	60	-0.692592952936877	-0.7213211661644512
664.410693	60	-0.6929184144346834	-0.7210086744214547
665.989746	60	-0.6932454167163482	-0.7206944172491044
667.568701	60	-0.6935627703635807	-0.720389158713993
669.147559	60	-0.6938730477535016	-0.7200904455088522
670.72627	60	-0.6941844225650609	-0.7197904154736221
672.304883	60	-0.6944969237348543	-0.7194890376186679
673.883447	60	-0.6948105803869901	-0.7191862806570554
675.461816	60	-0.69510873540287	-0.7188982400153767
677.040137	60	-0.6954074106616749	-0.718609456075855
678.618311	60	-0.6957065812252742	-0.7183199516134469
680.196387	60	-0.6960059325361304	-0.7180300300769521
681.774365	60	-0.6963010166134691	-0.717744003556439
683.352246	60	-0.6965857829418073	-0.7174677531179928
684.92998	60	-0.6968709362164794	-0.7171909068071886
686.507617	60	-0.6971570981712695	-0.716912858806917
688.085107	60	-0.6974448736730278	-0.7166330177696927
689.662549	60	-0.697726861205146	-0.7163585849186244
691.239795	60	-0.6980027479801921	-0.7160898781146523
692.816992	60	-0.6982803490150065	-0.7158192913763444
694.394043	60	-0.6985590909699203	-0.7155473803086845
695.970996	60	-0.6988384248773571	-0.7152746784332906
697.547852	60	-0.6991086906207911	-0.71501062531737
699.124561	60	-0.6993725220371338	-0.7147526649670467
700.701172	60	-0.6996370104843691	-0.7144938703138362
702.277637	60	-0.6999027015510692	-0.7142337050453569
703.854004	60	-0.7001701579991587	-0.7139716144102005
705.430225	60	-0.700430504186576	-0.7137163008723318
707.006396	60	-0.7006857732585783	-0.713465783729093
708.582373	60	-0.7009427899075873	-0.7132133693799645
710.158301	60	-0.7012010742266349	-0.7129595259320296
711.734033	60	-0.7014600977161721	-0.7127047706426834
713.309717	60	-0.7017126349295966	-0.7124562154044829
714.885254	60	-0.7019561251994357	-0.7122163964071196
716.460645	60	-0.7022002576883293	-0.7119757797250691
718.035938	60	-0.7024455382289201	-0.7117338646233026
719.611133	60	-0.7026924661077762	-0.7114901554420529
721.186182	60	-0.7029387539149156	-0.7112469082162709
722.761084	60	-0.7031731014312497	-0.7110152954650575
724.335937	60	-0.7034094794388512	-0.7107815203156422
725.910596	60	-0.7036474118356434	-0.7105460500817573
727.485156	60	-0.7038864578595064	-0.7103093182968145
729.059619	60	-0.7041261620985009	-0.7100717741718507
730.633936	60	-0.7043535047540851	-0.7098463306598418
732.208105	60	-0.7045776370836824	-0.7096239286510108
733.782178	60	-0.7048026481981668	-0.7094005128516376
735.356152	60	-0.705028985498962	-0.7091756366568764
736.92998	60	-0.7052570906693676	-0.7089488579974177
738.503662	60	-0.7054832154976747	-0.7087239028474636
740.077246	60	-0.7056996793590222	-0.7085084222696597
741.650684	60	-0.7059178586641625	-0.7082911001602539
743.224023	60	-0.7061371073364227	-0.7080725775535353
744.797217	60	-0.7063567654838792	-0.7078535108405231
746.370264	60	-0.7065761784387921	-0.707634552823127
747.943213	60	-0.7067873727100941	-0.7074236667102027
749.516016	60	-0.7069931265851387	-0.7072180910134803
751.088721	60	-0.707198994963459	-0.7070122810636288
752.661279	60	-0.707405766284594	-0.7068054474105085
754.23374	60	-0.7076142430118358	-0.7065967847119607
755.806055	60	-0.7078252155618274	-0.7063854977756594
757.378223	60	-0.7080246401686378	-0.7061856582539677
758.950293	60	-0.7082239017114894	-0.7059858683159403
760.522217	60	-0.7084260528541476	-0.7057830650538813
762.093994	60	-0.7086307962554336	-0.7055775420089496
763.665674	60	-0.7088378410147856	-0.7053695868733314
765.237256	60	-0.7090468893356924	-0.7051594949000433
766.808643	60	-0.7092404593662647	-0.7049648463230445
768.379932	60	-0.7094328887980842	-0.7047712383157219
769.951123	60	-0.7096261865099278	-0.7045766500209243
771.522119	60	-0.7098199213324077	-0.7043815144005363
