wavelength	n	k
350.397168	5.57513595809459	2.8828687020229657
351.986475	5.62990747273482	2.882366186651053
353.575781	5.694270252239391	2.8819010080375875
355.165088	5.769821276647391	2.879728222791452
356.75437	5.857931771137707	2.8734739789669668
358.343628	5.9597248014310225	2.86018872775079
359.932886	6.075603011498006	2.8347300681113192
361.522144	6.205450940622356	2.7931564575190575
363.111377	6.348140225328402	2.729358269675107
364.70061	6.500271714147439	2.635199667066044
366.289819	6.648084361070419	2.503731695734338
367.879028	6.782200541865603	2.333400233152137
369.468213	6.887214646947158	2.126114160735555
371.057397	6.947453880264014	1.8949579887354862
372.646582	6.959580821592755	1.6605856865531112
374.235718	6.925764376910809	1.4350283089333042
375.824878	6.854159280509374	1.2334685062906443
377.414014	6.7633391915175505	1.06265022922684
379.003125	6.659655249303078	0.9203574253158227
380.592236	6.5520977536148255	0.804457806781368
382.181323	6.447143080271259	0.7085441341010342
383.77041	6.345498966158756	0.6295035217032113
385.359473	6.248459216889472	0.5643602905700192
386.948535	6.156832715174606	0.5097287896845156
388.537573	6.070587079382995	0.4642380134884966
390.126587	5.989789635359343	0.4264065272888518
391.715601	5.914447869039654	0.3941765834684176
393.30459	5.844209773863092	0.3668396512590785
394.893579	5.778823861325393	0.34339209587091724
396.482544	5.7178194888021086	0.32254837792209873
398.071484	5.6608312308097855	0.30412349495009067
399.660425	5.607384380676279	0.2874114777523582
401.249341	5.557050937311866	0.27204885090737235
402.838232	5.50951813970247	0.2578435061871947
404.4271	5.464349634781118	0.24452034410795181
406.015967	5.4213159529613355	0.23202093745690378
407.60481	5.380172096135398	0.22023263508292715
409.193652	5.340767199076622	0.20911929127889342
410.782471	5.302882636768925	0.19860565884317713
412.37124	5.266364521649956	0.18870887244471285
413.96001	5.231126125002878	0.1793701426065142
415.548779	5.1970959104659205	0.1705887725853433
417.1375	5.164159590605433	0.16234795059967058
418.726221	5.132222083723979	0.15460166896545058
420.314893	5.101390607314285	0.14738489383092704
421.903564	5.0714490976787046	0.14060997397135055
423.492236	5.0424403067798345	0.1343170761547736
425.080859	5.014247135948247	0.12843333828002165
426.669482	4.986969966799683	0.12298113827827552
428.258057	4.960497560945459	0.11790414977843666
429.846582	4.93481375189709	0.1131927569374328
431.435156	4.909867466461698	0.1088281330014135
433.023633	4.885617165342766	0.1047848519608074
434.612158	4.8621224323004535	0.10104923345738887
436.200586	4.839290951536266	0.09758269680441865
437.789063	4.817161741276271	0.09438790744024195
439.377441	4.795597332099926	0.0914217298740875
440.965869	4.774696680311678	0.08869189727842332
442.554199	4.754335657182971	0.08615440233525476
444.142529	4.734658753977129	0.08381848660398507
445.730859	4.715476649833368	0.08164377155173022
447.319141	4.696849953883773	0.07964007888381078
448.907373	4.678657899526872	0.07777177076613317
450.495605	4.661071382399313	0.07604443498824937
452.083789	4.643928307071456	0.07443058149060788
453.671973	4.62725247743008	0.07293366459814994
455.260107	4.610961592380217	0.07153299342678593
456.848193	4.595167078236093	0.07022534542626975
458.436279	4.579798302751768	0.06899796172906371
460.024316	4.56480053650664	0.06784526249121217
461.612305	4.55016068662524	0.06676182152323146
463.200293	4.535871514402359	0.06573634460834413
464.788232	4.52201915542825	0.0647693209253251
466.376172	4.508455838731388	0.06384619316827086
467.964014	4.4952896506978774	0.06297387737580777
469.551855	4.482339751534021	0.06213583830091126
471.139697	4.469775024668588	0.061340423004487936
472.727441	4.457428398473084	0.06057411887003312
474.315186	4.445418824095499	0.059839215914761816
475.902881	4.433675075933406	0.05912981125355936
477.490527	4.422175352414012	0.058443245125743976
479.078174	4.4109683460515265	0.05778014831634972
480.665771	4.399948385410694	0.05713304987131765
482.25332	4.38928458880635	0.05650844610364248
483.84082	4.378784765133929	0.05589672300989426
485.428271	4.368531738574268	0.05530141220048098
487.015723	4.358456414526385	0.0547189379407315
488.603125	4.348547390531699	0.05414758475065561
490.19043	4.338895719511917	0.05358962141481317
491.777734	4.329377099561222	0.05303903179299779
493.36499	4.320135567712512	0.05250029535646821
494.952246	4.311037876451901	0.051968968908904026
496.539404	4.3020754959071	0.051445797678189895
498.126514	4.293294833057969	0.05093218403295989
499.713623	4.284606818822356	0.050423451777640085
501.300684	4.276186197727867	0.049923203895515765
502.887646	4.267919436735228	0.04942753780715517
504.474609	4.259793239752387	0.048936775721551445
506.061523	4.251854557151123	0.048453718447889205
507.64834	4.243974527509436	0.04797394442145304
509.235156	4.236246540546031	0.04750111824758434
510.821924	4.228629535440326	0.04703323323869676
512.408643	4.2211021532121595	0.04656789822413425
513.995264	4.213838488338071	0.046110383112540815
515.581885	4.206664655518156	0.04565499629078855
517.168457	4.199588365978749	0.045203704159599005
518.754932	4.192638810951558	0.044758706053038076
520.341406	4.185717124717006	0.0443160061652407
521.927783	4.178933002716661	0.04387880754521542
523.51416	4.172272450734227	0.04344582519393708
525.100439	4.165685004545745	0.04301411575852483
526.68667	4.159295696640233	0.042588331335350685
528.272852	4.153006859281598	0.042164991945682774
529.858984	4.146752536211637	0.04174354587813539
531.445068	4.140639884240757	0.04133053686080708
533.031055	4.134546795351913	0.04091976743622465
534.616992	4.1285037741045105	0.04051082112417631
536.202881	4.122665164758435	0.04010831890819964
537.788721	4.116872483954281	0.03970668503350376
539.374512	4.111138734939018	0.03930720895608373
540.960254	4.105555342596642	0.0389149511457256
542.545898	4.10000066757722	0.038524039427645915
544.131494	4.094498873754838	0.0381356749622888
545.716992	4.089147431830445	0.03775420009741833
547.30249	4.083828206145696	0.037373869519031454
548.887891	4.078563274885207	0.0369953879565808
550.473242	4.073445759280717	0.03662370902979874
552.058496	4.0683609921331865	0.036252854700076394
553.643701	4.0633072866776185	0.035883300600393686
555.228857	4.0583963243427625	0.035521814289964045
556.813965	4.053497210547102	0.03516132885076765
558.398975	4.048604274311451	0.034801750258881756
559.983936	4.043856949728557	0.034449594887030005
561.568799	4.039134870174941	0.03409891706851603
563.153613	4.034432307794052	0.033748902972944
564.73833	4.029852448352889	0.033404974653943514
566.322998	4.025345464818195	0.03306404848256498
567.907617	4.020868991308348	0.03272376157960461
569.492139	4.016469818015002	0.03238760081043846
571.076611	4.012155222126328	0.03205664782048285
572.660986	4.007846751720623	0.031726372478996824
574.245313	4.0035452477906075	0.031397618266841884
575.829541	3.9993618395611255	0.031076660523783613
577.413672	3.995176567865345	0.030756213828203642
578.997803	3.9910082359950887	0.030436135564151277
580.581787	3.986970250969394	0.030122440548491513
582.165723	3.9830000188408583	0.02981141183046067
583.749609	3.979045745952323	0.029500820700529704
585.333398	3.9751274611407994	0.029193049513367177
586.91709	3.971295690353623	0.028891974052209394
588.500684	3.9674598934327086	0.02859142599658204
590.084229	3.9636242738630254	0.028291288556315103
591.667725	3.959903875811642	0.027997771044294767
593.251123	3.9562283546932644	0.02770654903970634
594.834424	3.9525649425244818	0.027415455267605297
596.417627	3.948936102388993	0.027125928257821383
598.000781	3.9454184522056437	0.026844019799339147
599.583838	3.9419142934058105	0.026562133350039596
601.166797	3.9384190540228667	0.026280319134582373
602.749707	3.934987733996281	0.026003358142654955
604.33252	3.931613672798861	0.025731108975473087
605.915234	3.928235555014839	0.025459064605481578
607.497852	3.924849297490915	0.0251872631926532
609.08042	3.921558934648791	0.024922793966810134
610.662891	3.9182938035665913	0.024660462251507906
612.245264	3.9150348193193425	0.02439813314071947
613.827539	3.9117927833632082	0.02413564550449591
615.409717	3.908680756158648	0.023882184501700356
616.991846	3.9055847789105376	0.023628728851421348
618.573877	3.9024881745557107	0.023375219515687606
620.155762	3.899389718875019	0.023122735577981897
621.737598	3.8963871822836347	0.02287896170500867
623.319385	3.8933673598494503	0.022635225902046262
624.901025	3.8903403668422674	0.022391398225262427
626.482568	3.8873352581482497	0.02214866824188262
628.064063	3.884458413900859	0.021913901882379728
629.64541	3.8815889446550433	0.021678849492236932
631.226709	3.8787232380939747	0.021443563210660155
632.807861	3.8758693216414564	0.021209094511878277
634.388965	3.8731169264084944	0.020983429635607162
635.969971	3.8703616411868795	0.020757580421340262
637.55083	3.8676033567934316	0.020531476816646136
639.131641	3.864841705836274	0.02030502762652536
640.712354	3.8621982929837984	0.020087935222892456
642.29292	3.859554754643225	0.019870751012606467
643.873438	3.856907292667518	0.019653228700874138
645.453857	3.8542558134405036	0.01943541935534946
647.034131	3.851689629018153	0.01922509089235962
648.614355	3.849149393290526	0.019016902220265027
650.194434	3.846609796616006	0.018808342472524844
651.774414	3.844073497494151	0.018599323755656295
653.354346	3.841588390506537	0.018394569889796788
654.934131	3.8391619704505877	0.018194961394154493
656.513818	3.8367351326049786	0.017994821001133896
658.093408	3.8343024434085646	0.01779418564425584
659.6729	3.831866084554952	0.017593752990648907
661.252246	3.829529116523365	0.017402836229263578
662.831543	3.827178087197443	0.017211493693881502
664.410693	3.8248153897988053	0.017019740893957584
665.989746	3.8224431965254833	0.0168275754123268
667.568701	3.820142621973518	0.016640875805527915
669.147559	3.8178948885082864	0.016458158400769966
670.72627	3.8156407323853334	0.01627498720505007
672.304883	3.8133799580777255	0.01609132381300916
673.883447	3.8111123692667017	0.015907129768987466
675.461816	3.808958276767595	0.015732689313684194
677.040137	3.806801825536252	0.015557839310066903
678.618311	3.804643202853937	0.015382351097374852
680.196387	3.802484682982704	0.015206176504036273
681.774365	3.800358302287123	0.015032462944487441
683.352246	3.798307547632848	0.014865858204549507
684.92998	3.7962552756862182	0.014698536569518209
686.507617	3.7941970149733617	0.014530522310055681
688.085107	3.792128426428996	0.01436185031001119
689.662549	3.790102673200813	0.014197972910145979
691.239795	3.788121922438744	0.014039125866713348
692.816992	3.786130046918445	0.01387963871723807
694.394043	3.7841311801580457	0.013719510476705157
695.970996	3.7821292711170273	0.013558725512427063
697.547852	3.780193487870534	0.0134036464767101
699.124561	3.7783048697879926	0.013252462381393137
700	3.7772548839649285	0.013168221668344995
700.701172	3.77641262152355	0.013100595426308478
702.277637	3.774512846531185	0.012948043817350652
703.854004	3.772601534567144	0.01279479649485496
705.430225	3.770742069766335	0.012647039047072105
707.006396	3.768919858852847	0.01250339568267722
708.582373	3.7670861722707483	0.012359023625169238
710.158301	3.765244452699041	0.012213889242412042
711.734033	3.7633984814365125	0.012067985735566875
713.309717	3.761599711332005	0.011926028922337642
714.885254	3.7598662890010615	0.011789756279886926
716.460645	3.7581291970338	0.011652688204815546
718.035938	3.7563848424542226	0.011514828511027907
719.611133	3.754629686395614	0.011376185148772687
721.186182	3.7528799876548855	0.011238604095630392
722.761084	3.7512159463206736	0.011109704744810845
724.335937	3.749538319046515	0.010980019715845897
725.910596	3.74785050475871	0.010849550703296589
727.485156	3.746155645098831	0.010718279632970425
729.059619	3.7444569791479982	0.010586196065370809
730.633936	3.7428466972161343	0.010462078554484729
732.208105	3.741259908452262	0.010339668616629619
733.782178	3.739667652598455	0.010216429128101135
735.356152	3.7380667719731857	0.010092358177429941
736.92998	3.736454155434515	0.009967457364077021
738.503662	3.734856293096142	0.009844690758745117
740.077246	3.7333273909480127	0.00972954501026043
741.650684	3.7317870734855676	0.009613549722644783
743.224023	3.730239916884037	0.009496689514803017
744.797217	3.7286905863125073	0.00937895589222542
746.370264	3.7271437014641244	0.009260337139938788
747.943213	3.7256554174022316	0.00914784148986397
749.516016	3.724206097522912	0.009038991479039941
751.088721	3.722756598400996	0.008929254028639996
752.661279	3.7213013696949306	0.008818644188235008
754.23374	3.719834772119129	0.008707170065539073
755.806055	3.7183512610636953	0.008594846752434234
757.378223	3.7169495362853535	0.008491031890621522
758.950293	3.7155495305493305	0.008388498056235679
760.522217	3.7141298107202525	0.008285111886094508
762.093994	3.7126924896147058	0.00818086472305682
763.665674	3.7112396315369827	0.008075744491754938
765.237256	3.7097733458025157	0.007969742462633043
766.808643	3.7084161848490487	0.007872918673292421
768.379932	3.707067560003969	0.0077766207396464115
769.951123	3.7057133927559534	0.007679417494942633
771.522119	3.704356709642327	0.007581308085924405
773.093018	3.7030003674439333	0.00748227954097105
774.663818	3.7016473078903713	0.007382325053318901
776.234473	3.7003633647865835	0.007290595553019911
777.80498	3.699099890507124	0.007200431331164558
779.375342	3.697834918187668	0.0071093452861671035
780.945605	3.6965637216685487	0.007017340649298209
782.515723	3.6952816513608826	0.00692442601242449
784.085742	3.6939839849696403	0.006830604547498565
785.655615	3.69273116218133	0.0067421414800038215
787.225342	3.6915132853241657	0.0066581402075748175
788.794971	3.690277647358697	0.006573233678335889
790.364453	3.68902733080132	0.006487420490690924
791.933789	3.6877653779459094	0.0064006965818780934
793.503027	3.6864947912045465	0.006313055250356925
795.07207	3.6852335657698876	0.006225981043093473
796.641064	3.6840705086028342	0.006148115286783595
798.209863	3.6829036618905335	0.006069327553994513
799.778564	3.6817321468439803	0.005989612058426932
801.347168	3.680555156023359	0.005908967747622548
802.915625	3.679371920860446	0.005827396234759321
804.483936	3.6781816352189938	0.005744896554806625
806.0521	3.677036952883292	0.00566784427914746
807.620166	3.6759283241776455	0.005595147610915439
809.188086	3.6748114521783553	0.0055215234391155004
810.755859	3.673686328878112	0.0054469738358208
812.323535	3.672552909288065	0.005371498403967855
813.891064	3.671411220457128	0.005295101530417739
815.458496	3.670261216872489	0.005217782757134029
817.025781	3.6691851129771433	0.005148716980786065
818.59292	3.668122707504997	0.005081187949867363
820.159961	3.6670519589774986	0.005012738181843437
821.726855	3.665972894525155	0.0049433695155737594
823.293555	3.6648855409422536	0.004873083815615329
824.860254	3.663789757532296	0.004801872078184
826.426758	3.662685673248203	0.004729742776972699
827.993066	3.6616620963766304	0.0046665220964499906
829.559375	3.6606461334354474	0.004604151433503634
831.125488	3.659621844282803	0.004540860891384997
832.691504	3.6585891607461907	0.004476646122310814
834.257324	3.6575481446895206	0.004411510839187567
835.823145	3.656498660927581	0.004345446413623051
837.38877	3.6554408372889666	0.004278460724069042
838.954199	3.654456457063341	0.004218824906648
840.519531	3.65349584382248	0.004161592131151854
842.084863	3.6525249854698316	0.004103435007217668
843.649902	3.6515430337256585	0.004044367924317087
845.214941	3.650548775198367	0.0039843833263050145
846.779785	3.649541303649476	0.003923492101202308
848.344531	3.648519528179548	0.0038616939731723945
849.90918	3.647531602279431	0.0038033693514106215
851.473633	3.64660913620886	0.003751295535136682
853.037988	3.6456741351814252	0.0036983176624531245
854.602246	3.6447290926736953	0.003644434197472905
856.166406	3.6437765024310758	0.0035896436732365104
857.730371	3.642818916166862	0.003533948072484241
859.294238	3.6418587658322057	0.0034773425266749476
860.858008	3.640898540692477	0.0034198255003522384
862.421582	3.640008509631522	0.00337105415078684
863.985156	3.6391327894622822	0.0033232325524413086
865.548535	3.638256414101793	0.003274504252284717
867.111816	3.637377414343425	0.003224868570072866
868.675	3.636493875476963	0.0031743277305132287
870.237988	3.6356039406802307	0.0031228872753002817
871.800879	3.6347056418012853	0.003070546285906571
873.363672	3.633805285525829	0.0030182192498807102
874.926367	3.6329882046236746	0.0029755582988860536
876.488965	3.6321586364870435	0.0029320037100139884
878.051367	3.631316221894976	0.0028875613652504855
879.613672	3.6304604959054263	0.002842231569577761
881.175879	3.6295910464485264	0.002796017387850804
882.737988	3.6287074610754972	0.0027489218556748848
884.3	3.6278093269138676	0.002700947976570712
885.861914	3.626910003412412	0.002653172048826145
887.423633	3.62612763640653	0.002614806678441169
888.985254	3.6253313036477732	0.0025755688142398187
890.546777	3.6245222608401138	0.0025354590477665337
892.108203	3.6237017626866406	0.0024944779438690295
893.669531	3.6228710644639976	0.0024526261191569806
895.230762	3.6220314199224086	0.0024099041370189605
896.791797	3.6211841368204087	0.0023663153786625244
898.352832	3.620330362059147	0.0023218549618479497
899.913672	3.61956428832196	0.002286396247428165
901.474414	3.6188070230689435	0.002251502350648826
903.035059	3.618045473206692	0.0022157417878263686
904.595605	3.617280039301585	0.0021791158012954776
906.156055	3.6165111193193242	0.0021416255159217024
907.716406	3.6157391140253297	0.002103272198657818
909.27666	3.614964421570801	0.0020640569956556546
910.836816	3.614187441440256	0.00202398112613099
912.396777	3.6134406851583156	0.0019876046868062534
913.956738	3.612738521888345	0.0019570576277019238
915.516602	3.612032150950616	0.0019256575370414108
917.07627	3.611319803430185	0.0018934110809648184
918.635938	3.6105995762348817	0.0018603187992570845
920.195508	3.6098697009307275	0.0018263872821003243
921.754883	3.609128411724613	0.0017916233068975816
923.314258	3.6083738043828624	0.0017560271126966214
924.873437	3.6076041630640363	0.0017196077586700686
926.432617	3.6069027302517758	0.001689889558673407
927.991699	3.6062252882736727	0.0016629004733571657
929.550684	3.6055337881736773	0.0016350921387672224
