wavelength	aoi	psi	delta
609.08042	65	18.031343	176.58748
610.662891	65	18.054201	176.70837
612.245264	65	17.971703	176.7924
613.827539	65	17.90439	176.71223
615.409717	65	17.990452	176.7805
616.991846	65	17.957596	176.64423
618.573877	65	17.890823	176.58237
620.155762	65	17.881887	176.92606
621.737598	65	17.939289	176.8112
623.319385	65	17.809162	176.62926
624.901025	65	17.84687	176.80971
626.482568	65	17.83289	176.83247
628.064063	65	17.818399	176.83067
629.64541	65	17.823944	176.80443
631.226709	65	17.838293	176.77249
632.807861	65	17.724777	176.76024
634.388965	65	17.688654	176.78064
635.969971	65	17.715544	176.95531
637.55083	65	17.740009	177.00201
639.131641	65	17.702093	176.65413
640.712354	65	17.714567	176.78416
642.29292	65	17.715527	176.9055
643.873438	65	17.496391	176.83691
645.453857	65	17.514572	176.86465
647.034131	65	17.617325	176.85428
648.614355	65	17.586334	176.89334
650.194434	65	17.68796	176.93654
651.774414	65	17.508224	176.76263
653.354346	65	17.505846	176.88486
654.934131	65	17.554117	176.87877
656.513818	65	17.58012	177.05534
658.093408	65	17.458527	176.88872
659.6729	65	17.493584	177.1467
661.252246	65	17.41873	177.08073
662.831543	65	17.452913	176.86058
664.410693	65	17.504728	177.01877
665.989746	65	17.499594	176.918
667.568701	65	17.399849	176.97391
669.147559	65	17.24408	177.11635
670.72627	65	17.336943	176.88977
672.304883	65	17.340921	176.96399
673.883447	65	17.399019	177.03468
675.461816	65	17.443268	177.15916
677.040137	65	17.248028	177.12495
678.618311	65	17.323725	177.19032
680.196387	65	17.374365	177.21425
681.774365	65	17.200935	177.10078
683.352246	65	17.193419	177.03922
684.92998	65	17.157774	177.03082
686.507617	65	17.287195	177.23013
688.085107	65	17.211912	177.24019
689.662549	65	17.09285	177.18613
691.239795	65	17.161968	177.21631
692.816992	65	17.063065	177.39568
694.394043	65	17.172379	176.94243
695.970996	65	17.187639	177.03755
697.547852	65	17.141447	177.08482
699.124561	65	17.113344	177.14076
700.701172	65	17.146379	177.42815
702.277637	65	16.985588	177.28871
703.854004	65	17.070454	177.12099
705.430225	65	17.047611	177.32486
707.006396	65	17.088037	177.39732
708.582373	65	17.031742	177.27974
710.158301	65	16.895969	177.19975
711.734033	65	17.043266	177.32355
713.309717	65	17.105211	177.45869
714.885254	65	16.912851	177.19786
716.460645	65	17.001516	177.07466
718.035938	65	17.064789	177.34998
719.611133	65	16.905733	177.34738
721.186182	65	17.112888	177.27191
722.761084	65	17.10865	177.36354
724.335937	65	16.917431	176.93159
725.910596	65	16.761154	177.26582
727.485156	65	16.961943	177.61763
729.059619	65	16.921572	177.66011
730.633936	65	16.883101	177.44301
732.208105	65	16.807732	177.20876
733.782178	65	16.828638	177.38077
735.356152	65	16.8599	177.29085
736.92998	65	16.95775	177.39523
738.503662	65	16.963301	177.66049
740.077246	65	16.796366	177.40999
741.650684	65	16.75701	177.25108
743.224023	65	16.87348	177.41592
744.797217	65	16.791254	177.46123
746.370264	65	16.790277	177.34476
747.943213	65	16.65391	177.21626
749.516016	65	16.702707	177.47914
751.088721	65	16.729362	177.5578
752.661279	65	16.606762	177.49168
754.23374	65	16.792717	177.4429
755.806055	65	16.6509	177.41028
757.378223	65	16.676596	177.27811
758.950293	65	16.672779	177.48579
760.522217	65	16.836023	177.65543
762.093994	65	16.711664	177.57384
763.665674	65	16.641026	177.45146
765.237256	65	16.59222	177.42937
766.808643	65	16.582945	177.33536
768.379932	65	16.68285	177.70944
769.951123	65	16.618975	177.81381
771.522119	65	16.706327	177.79057
773.093018	65	16.595459	177.28377
774.663818	65	16.530067	177.24112
776.234473	65	16.475048	177.42917
777.80498	65	16.444778	177.59959
779.375342	65	16.431286	177.86781
780.945605	65	16.653175	177.62044
782.515723	65	16.631094	177.42665
784.085742	65	16.649506	177.44247
785.655615	65	16.441891	177.73434
787.225342	65	16.340563	177.59154
788.794971	65	16.454344	177.47058
790.364453	65	16.567766	177.50887
791.933789	65	16.787121	177.68077
793.503027	65	16.549938	177.82646
795.07207	65	16.427158	177.78474
796.641064	65	16.616285	177.49135
798.209863	65	16.514315	177.49846
799.778564	65	16.445826	177.63408
801.347168	65	16.277475	177.66634
802.915625	65	16.346661	177.38869
804.483936	65	16.680475	177.758
806.0521	65	16.361637	177.86227
807.620166	65	16.274256	177.48357
809.188086	65	16.378113	177.39626
810.755859	65	16.543573	177.9269
812.323535	65	16.648333	177.83414
813.891064	65	16.260178	177.72725
815.458496	65	16.311798	177.68753
817.025781	65	16.387108	177.72008
818.59292	65	16.468212	177.61748
820.159961	65	16.24559	177.55814
821.726855	65	16.103918	177.53064
823.293555	65	16.375357	178.04468
824.860254	65	16.456581	177.97197
826.426758	65	16.292023	177.80492
827.993066	65	16.364452	177.78773
829.559375	65	16.253235	177.85973
831.125488	65	16.318216	177.60374
832.691504	65	16.166462	177.73204
834.257324	65	16.503769	177.66032
835.823145	65	16.296152	177.59032
837.38877	65	16.097908	177.90883
838.954199	65	16.38674	177.8741
840.519531	65	16.436388	177.54436
842.084863	65	16.262547	177.89883
843.649902	65	16.171791	177.6676
845.214941	65	16.223572	177.76697
846.779785	65	16.267973	177.85284
848.344531	65	16.307579	177.87134
849.90918	65	16.437496	178.05328
851.473633	65	16.165852	178.11049
853.037988	65	16.324207	177.57782
854.602246	65	16.314041	177.91174
856.166406	65	16.055574	177.66272
857.730371	65	16.352074	177.9639
859.294238	65	16.155373	177.89082
860.858008	65	16.352884	177.7153
862.421582	65	16.102192	177.75435
863.985156	65	16.22821	177.90538
865.548535	65	16.434324	177.92043
867.111816	65	16.196468	178.10088
868.675	65	15.876196	177.87625
870.237988	65	15.918891	177.66342
871.800879	65	16.103655	177.81583
873.363672	65	16.068148	177.70413
874.926367	65	16.132774	177.80087
876.488965	65	16.348631	177.90828
878.051367	65	16.258476	178.19832
879.613672	65	16.032351	177.76093
881.175879	65	15.925858	177.70488
882.737988	65	16.023335	177.93797
884.3	65	16.239676	177.70901
885.861914	65	16.305168	177.94037
887.423633	65	16.054411	178.46039
888.985254	65	15.883046	178.21176
890.546777	65	15.544295	177.6264
892.108203	65	15.776646	178.04778
893.669531	65	16.049976	178.00986
895.230762	65	16.249689	178.19351
896.791797	65	16.292788	178.22272
898.352832	65	16.007252	178.19412
899.913672	65	15.975627	178.0616
901.474414	65	16.172888	178.07771
903.035059	65	15.99763	177.60805
904.595605	65	15.904881	177.54391
906.156055	65	15.649777	177.882
907.716406	65	15.970625	178.06729
909.27666	65	15.971826	178.33986
910.836816	65	15.761616	178.07741
912.396777	65	15.820869	177.60585
913.956738	65	15.943763	177.43962
915.516602	65	16.228449	177.81006
917.07627	65	16.057741	178.24785
918.635938	65	16.001537	178.50731
920.195508	65	15.879456	178.40828
921.754883	65	16.023516	178.11533
923.314258	65	16.213146	178.38747
924.873437	65	16.038671	177.93477
926.432617	65	15.982121	178.10101
927.991699	65	15.865331	177.80359
929.550684	65	16.104065	177.73006
931.109473	65	16.124067	178.24565
932.668262	65	16.009027	178.16275
934.226953	65	15.729013	178.07996
935.785547	65	15.769413	178.0878
937.344043	65	15.890216	177.96906
938.902539	65	16.000759	177.97015
940.46084	65	15.813589	178.21689
942.019141	65	15.890821	177.85887
943.577246	65	15.833397	177.96918
945.135352	65	16.081718	178.1915
946.693359	65	15.764771	177.6877
948.25127	65	15.958989	177.67792
949.809082	65	15.914783	178.45253
951.366895	65	16.011024	177.93753
952.924609	65	15.844169	177.98595
954.482227	65	15.811974	178.16942
956.039746	65	15.699105	178.2325
957.597168	65	15.83954	178.11739
959.15459	65	16.047964	177.94864
960.711914	65	16.087404	177.64951
962.269141	65	15.971046	177.91411
963.826367	65	15.640512	178.53416
965.383398	65	15.578915	177.87814
966.940527	65	15.678656	178.11467
968.497461	65	16.01433	178.00067
970.054395	65	16.161278	178.04465
971.61123	65	15.813984	178.07805
973.168066	65	15.619243	177.72289
974.724707	65	15.768088	177.94403
976.281445	65	15.835073	177.48669
977.838086	65	15.984632	178.12738
979.394629	65	15.756385	178.0645
980.951074	65	15.576911	178.62894
982.50752	65	15.631115	178.01817
984.063965	65	15.643265	178.25238
985.620313	65	15.696797	177.65202
987.176563	65	15.811907	178.2534
988.732812	65	15.778487	178.38718
