aoi	Rs	Rp
40	0.4338131301574316	0.24198833868426228
42	0.4446279828640936	0.23118320820060595
44	0.45617100528978544	0.21967457004931484
46	0.4684712677557194	0.20744743577399508
48	0.4815591476047054	0.19449148997394244
50	0.495466275660811	0.18080341575292938
52	0.5102254689740061	0.16639008318541693
54	0.5258706482551789	0.15127293536051506
56	0.542436738366725	0.13549404916273827
58	0.5599595502131288	0.11912455858601566
60	0.578475642378475	0.10227644357243147
62	0.5980221608877362	0.08511916571170643
64	0.6186366555301274	0.06790336931489724
66	0.6403568712798994	0.05099502167513147
68	0.6632205134866282	0.034925210546307775
70	0.6872649856870733	0.020463821068512595
72	0.7125270991171568	0.008730318934892166
74	0.7390427532782881	0.0013634132393690916
76	0.7668465872387962	0.0007863785076258911
78	0.7959716017296411	0.01063199584542852
80	0.8264487525233712	0.036442068110294205
82	0.8583065160650126	0.08685605305279995
84	0.8915704288500642	0.17570702722227033
