wavelength(nm)	AOI	Psi	Delta
431.435156	65.000000	35.008572	250.25294
433.023633	65.000000	36.239609	250.5278
434.612158	65.000000	38.020332	250.1478
436.200586	65.000000	40.940483	250.22298
437.789063	65.000000	44.052643	249.88382
439.377441	65.000000	46.952465	248.03276
440.965869	65.000000	50.536499	244.04475
442.554199	65.000000	54.928055	237.89406
444.142529	65.000000	59.752075	228.44386
445.730859	65.000000	64.538612	213.23471
447.319141	65.000000	67.767082	189.85255
448.907373	65.000000	67.558952	160.0378
450.495605	65.000000	63.627678	136.41588
452.083789	65.000000	58.771538	122.99457
453.671973	65.000000	54.09285	114.78883
455.260107	65.000000	49.752808	109.32406
456.848193	65.000000	46.127815	105.89607
458.436279	65.000000	43.188763	103.9978
460.024316	65.000000	40.596352	102.82202
461.612305	65.000000	38.521145	102.52531
463.200293	65.000000	36.48098	102.92403
464.788232	65.000000	34.804611	104.12156
466.376172	65.000000	33.331795	105.55004
467.964014	65.000000	31.706102	107.81847
469.551855	65.000000	30.347845	110.14377
471.139697	65.000000	29.133177	113.14424
472.727441	65.000000	27.911846	116.36761
474.315186	65.000000	26.85693	120.09509
475.902881	65.000000	25.863876	123.71658
477.490527	65.000000	24.941515	128.07423
479.078174	65.000000	23.933945	133.22885
480.665771	65.000000	23.073301	138.42017
482.25332	65.000000	22.440147	144.13687
483.84082	65.000000	21.752434	149.99806
485.428271	65.000000	21.187689	155.83025
487.015723	65.000000	20.804544	162.21594
488.603125	65.000000	20.362867	168.96854
490.19043	65.000000	20.197439	175.64772
491.777734	65.000000	20.200966	182.22076
493.36499	65.000000	20.283367	188.76782
494.952246	65.000000	20.472462	195.23363
496.539404	65.000000	20.752382	201.43602
498.126514	65.000000	21.106279	207.51921
499.713623	65.000000	21.590809	212.95819
501.300684	65.000000	22.195116	217.98024
502.887646	65.000000	22.95463	223.25082
504.474609	65.000000	23.596018	227.85539
506.061523	65.000000	24.33168	231.81558
507.64834	65.000000	25.257305	236.1012
509.235156	65.000000	26.173294	239.75374
510.821924	65.000000	27.065266	242.75539
512.408643	65.000000	28.050961	245.81763
513.995264	65.000000	29.043606	248.05096
515.581885	65.000000	30.082819	250.3428
517.168457	65.000000	31.013611	251.78392
518.754932	65.000000	32.25864	252.94585
520.341406	65.000000	33.812866	254.8067
521.927783	65.000000	35.248215	256.0892
523.51416	65.000000	36.617458	256.58353
525.100439	65.000000	38.212387	256.85843
526.68667	65.000000	39.907871	256.76547
528.272852	65.000000	41.912788	256.39786
529.858984	65.000000	44.268208	255.49318
531.445068	65.000000	47.064011	253.98155
533.031055	65.000000	50.016743	252.05032
534.616992	65.000000	53.157761	248.96352
536.202881	65.000000	56.506096	245.26514
537.788721	65.000000	60.819595	240.15292
539.374512	65.000000	65.379974	232.22737
540.960254	65.000000	69.494507	220.55557
542.545898	65.000000	73.799736	199.44217
544.131494	65.000000	74.824493	171.0872
545.716992	65.000000	72.375122	148.41554
547.30249	65.000000	68.44059	130.05833
548.887891	65.000000	64.108749	119.47595
550.473242	65.000000	59.850803	112.75195
552.058496	65.000000	56.076763	107.98489
553.643701	65.000000	52.535252	105.18778
555.228857	65.000000	49.389095	102.617
556.813965	65.000000	46.806034	100.97828
558.398975	65.000000	44.403141	100.03477
559.983936	65.000000	42.091991	99.280724
561.568799	65.000000	40.178486	98.964752
563.153613	65.000000	38.400639	98.791862
564.73833	65.000000	36.90147	98.868607
566.322998	65.000000	35.603287	99.424568
567.907617	65.000000	34.285881	100.10387
569.492139	65.000000	33.175282	100.94027
571.076611	65.000000	32.054749	101.87209
572.660986	65.000000	31.01667	103.0941
574.245313	65.000000	30.013065	104.5919
575.829541	65.000000	29.14987	106.3435
577.413672	65.000000	28.266644	108.06805
578.997803	65.000000	27.47493	109.64219
580.581787	65.000000	26.587091	112.0223
582.165723	65.000000	25.65604	114.28571
583.749609	65.000000	24.965361	116.57587
585.333398	65.000000	24.248968	119.33588
586.91709	65.000000	23.585741	121.97514
588.500684	65.000000	22.964865	124.99216
590.084229	65.000000	22.269732	128.28546
591.667725	65.000000	21.611235	131.03494
593.251123	65.000000	21.109175	134.52417
594.834424	65.000000	20.593159	138.22792
596.417627	65.000000	20.083504	141.90434
598.000781	65.000000	19.686342	146.02419
599.583838	65.000000	19.288059	149.65457
601.166797	65.000000	18.806252	153.45197
602.749707	65.000000	18.550581	158.12727
604.33252	65.000000	18.276762	162.20413
605.915234	65.000000	18.160177	166.34633
607.497852	65.000000	17.978531	170.92679
609.08042	65.000000	17.836395	175.64705
610.662891	65.000000	17.85433	180.62262
612.245264	65.000000	17.814091	185.4911
613.827539	65.000000	18.036871	189.37511
615.409717	65.000000	18.067719	193.81747
616.991846	65.000000	18.312595	197.76027
618.573877	65.000000	18.504618	201.76022
620.155762	65.000000	18.801516	206.071
621.737598	65.000000	19.093111	210.21448
623.319385	65.000000	19.368896	214.12305
624.901025	65.000000	19.852421	217.30923
626.482568	65.000000	20.261965	220.72113
628.064063	65.000000	20.681267	223.94328
629.64541	65.000000	21.124031	227.13052
631.226709	65.000000	21.637547	229.98441
632.807861	65.000000	22.108894	232.63618
634.388965	65.000000	22.711018	235.42299
635.969971	65.000000	23.263288	237.81723
637.55083	65.000000	23.862234	239.41104
639.131641	65.000000	24.389347	241.85638
640.712354	65.000000	24.872421	243.74429
642.29292	65.000000	25.550623	245.84723
643.873438	65.000000	26.302658	247.94868
645.453857	65.000000	27.021748	249.69466
647.034131	65.000000	27.659622	251.2574
648.614355	65.000000	28.335663	252.38155
650.194434	65.000000	28.99918	253.31485
651.774414	65.000000	29.796207	254.76132
653.354346	65.000000	30.565029	256.09344
654.934131	65.000000	31.421459	256.88989
656.513818	65.000000	32.315559	257.77991
658.093408	65.000000	33.196728	258.6153
659.6729	65.000000	34.223373	259.45297
661.252246	65.000000	35.306396	259.97208
662.831543	65.000000	36.12085	260.16177
664.410693	65.000000	37.296055	260.47241
665.989746	65.000000	38.600929	260.58362
667.568701	65.000000	39.7701	260.38559
669.147559	65.000000	40.913589	260.15457
670.72627	65.000000	42.398518	259.99432
672.304883	65.000000	43.951572	260.09189
673.883447	65.000000	45.5877	259.22568
675.461816	65.000000	47.616508	258.45459
677.040137	65.000000	49.311184	258.00662
678.618311	65.000000	51.464619	256.60672
680.196387	65.000000	54.195869	254.86716
681.774365	65.000000	56.82365	253.12509
683.352246	65.000000	59.108723	251.02802
684.92998	65.000000	62.085407	248.35327
686.507617	65.000000	65.044281	245.11136
688.085107	65.000000	67.914055	240.14142
689.662549	65.000000	71.219025	233.57788
691.239795	65.000000	74.436546	223.30699
692.816992	65.000000	76.778343	209.60455
694.394043	65.000000	78.485268	192.73647
695.970996	65.000000	78.793945	168.12418
697.547852	65.000000	77.341888	146.84966
699.124561	65.000000	74.506096	133.84254
700.701172	65.000000	71.734131	122.92688
702.277637	65.000000	68.715637	116.41961
703.854004	65.000000	65.381622	112.26026
705.430225	65.000000	62.358875	108.2815
707.006396	65.000000	59.976658	105.34327
708.582373	65.000000	57.626198	103.2142
710.158301	65.000000	54.811256	101.07525
711.734033	65.000000	53.266857	100.15626
713.309717	65.000000	51.062908	99.583336
714.885254	65.000000	48.845207	97.851341
716.460645	65.000000	47.457771	97.344795
718.035938	65.000000	45.878757	96.856377
719.611133	65.000000	44.385345	96.605522
721.186182	65.000000	42.924351	96.023621
722.761084	65.000000	41.860985	96.144058
724.335937	65.000000	40.382912	95.563576
725.910596	65.000000	39.4193	95.237648
727.485156	65.000000	38.577057	95.634727
729.059619	65.000000	37.171688	96.3284
730.633936	65.000000	36.08633	96.304916
732.208105	65.000000	35.357353	96.65506
733.782178	65.000000	34.688637	97.193634
735.356152	65.000000	33.870205	97.72226
736.92998	65.000000	33.164257	98.192184
738.503662	65.000000	32.404942	98.537384
740.077246	65.000000	31.686766	98.923386
741.650684	65.000000	31.152636	99.798019
743.224023	65.000000	30.442255	100.69897
744.797217	65.000000	29.812479	101.49406
746.370264	65.000000	29.226583	102.42147
747.943213	65.000000	28.528008	102.86652
749.516016	65.000000	28.058668	104.3455
751.088721	65.000000	27.355425	105.20892
752.661279	65.000000	26.889935	106.1221
754.23374	65.000000	26.322611	107.80148
755.806055	65.000000	25.782171	108.65556
757.378223	65.000000	25.353271	109.70091
758.950293	65.000000	24.845585	111.32213
760.522217	65.000000	24.524868	112.70878
762.093994	65.000000	23.96851	114.14476
763.665674	65.000000	23.619497	115.32606
765.237256	65.000000	23.114859	116.77342
766.808643	65.000000	22.721569	118.26033
768.379932	65.000000	22.410583	119.57845
769.951123	65.000000	21.961462	121.22208
771.522119	65.000000	21.613415	123.94581
773.093018	65.000000	21.171028	125.09278
774.663818	65.000000	20.694147	126.60918
776.234473	65.000000	20.357328	128.7399
777.80498	65.000000	19.852463	130.68681
779.375342	65.000000	19.449362	133.22272
780.945605	65.000000	19.447559	135.16779
782.515723	65.000000	19.158215	137.1613
784.085742	65.000000	18.740334	139.98238
785.655615	65.000000	18.343519	142.36227
787.225342	65.000000	17.997044	143.66876
788.794971	65.000000	17.870049	146.23051
790.364453	65.000000	17.801245	148.67911
791.933789	65.000000	17.536118	150.64021
793.503027	65.000000	17.324202	153.73248
795.07207	65.000000	17.024748	155.98701
796.641064	65.000000	17.035934	158.34103
798.209863	65.000000	16.911852	161.58922
799.778564	65.000000	16.700291	164.42302
801.347168	65.000000	16.504711	167.20767
802.915625	65.000000	16.249012	169.29535
804.483936	65.000000	16.702551	171.16519
806.0521	65.000000	16.277668	174.0537
807.620166	65.000000	16.23805	177.57753
809.188086	65.000000	16.055355	180.4659
810.755859	65.000000	16.390696	182.37012
812.323535	65.000000	16.528387	184.49332
813.891064	65.000000	16.411844	188.03052
815.458496	65.000000	16.525928	191.00386
817.025781	65.000000	16.525204	193.18716
818.59292	65.000000	16.567532	195.00337
820.159961	65.000000	16.615625	198.71211
821.726855	65.000000	16.743832	202.83562
823.293555	65.000000	17.087212	204.09531
824.860254	65.000000	17.278942	204.91182
826.426758	65.000000	17.438652	207.20792
827.993066	65.000000	17.518126	208.79442
829.559375	65.000000	17.502022	210.85699
831.125488	65.000000	17.817287	213.29749
832.691504	65.000000	17.963554	216.28181
834.257324	65.000000	18.297138	216.9649
835.823145	65.000000	18.402052	219.15816
837.38877	65.000000	18.81381	221.59909
838.954199	65.000000	19.182425	223.01605
840.519531	65.000000	19.290585	225.10231
842.084863	65.000000	19.579618	226.45399
843.649902	65.000000	19.667063	228.48875
845.214941	65.000000	20.305876	229.94792
846.779785	65.000000	20.778282	231.98801
848.344531	65.000000	20.979284	233.63298
849.90918	65.000000	21.244358	234.0143
851.473633	65.000000	21.622049	237.21858
853.037988	65.000000	22.085567	238.55939
854.602246	65.000000	22.20499	239.90425
856.166406	65.000000	22.536135	240.61919
857.730371	65.000000	22.621859	241.24057
859.294238	65.000000	23.128191	241.77415
860.858008	65.000000	23.539633	243.79688
862.421582	65.000000	23.808811	245.26465
863.985156	65.000000	24.007004	245.52565
865.548535	65.000000	24.571953	246.4547
867.111816	65.000000	24.879663	247.81755
868.675	65.000000	25.187004	250.36327
870.237988	65.000000	25.69907	250.40965
871.800879	65.000000	25.99317	251.41029
873.363672	65.000000	26.356316	252.42317
874.926367	65.000000	26.582781	252.35707
876.488965	65.000000	26.939352	251.87126
878.051367	65.000000	27.392735	253.21494
879.613672	65.000000	28.071835	256.0152
881.175879	65.000000	28.37888	256.95416
882.737988	65.000000	28.563135	257.27359
884.3	65.000000	28.505865	256.02264
885.861914	65.000000	29.0242	256.65082
887.423633	65.000000	29.832521	257.98639
888.985254	65.000000	30.194895	258.70712
890.546777	65.000000	30.475008	259.12808
892.108203	65.000000	30.691069	259.57642
893.669531	65.000000	31.456909	259.72211
895.230762	65.000000	32.198994	260.01443
896.791797	65.000000	32.523113	260.40884
898.352832	65.000000	32.823578	261.22626
899.913672	65.000000	33.136799	260.30661
901.474414	65.000000	34.025997	261.32547
903.035059	65.000000	35.231766	263.42429
904.595605	65.000000	35.438541	262.76321
906.156055	65.000000	35.485394	262.25119
907.716406	65.000000	36.144279	261.93912
909.27666	65.000000	36.429359	261.93875
910.836816	65.000000	37.424137	262.38864
912.396777	65.000000	38.368923	263.07724
913.956738	65.000000	39.388027	263.67819
915.516602	65.000000	39.76685	262.98801
917.07627	65.000000	40.515251	263.05356
918.635938	65.000000	41.394436	263.28671
920.195508	65.000000	41.954201	263.12436
921.754883	65.000000	42.958805	262.88525
923.314258	65.000000	43.612476	262.30139
924.873437	65.000000	43.953522	262.94144
926.432617	65.000000	44.327347	261.59067
927.991699	65.000000	45.427509	260.83942
929.550684	65.000000	47.688206	261.01117
931.109473	65.000000	48.004654	260.95059
932.668262	65.000000	48.854324	260.37704
934.226953	65.000000	50.870136	260.9592
935.785547	65.000000	51.87722	259.40894
937.344043	65.000000	53.456799	259.56052
938.902539	65.000000	54.966324	258.10898
940.46084	65.000000	56.704414	258.19562
942.019141	65.000000	58.093174	257.92844
943.577246	65.000000	58.060364	255.05066
945.135352	65.000000	58.620541	254.96112
946.693359	65.000000	61.036049	254.44403
948.25127	65.000000	63.305454	253.41373
949.809082	65.000000	64.198601	253.24338
951.366895	65.000000	64.798859	250.23659
952.924609	65.000000	67.254761	247.40598
954.482227	65.000000	69.551346	245.50716
956.039746	65.000000	70.201584	243.40765
957.597168	65.000000	70.611015	239.25185
959.15459	65.000000	73.719559	234.58955
960.711914	65.000000	75.114487	231.70471
962.269141	65.000000	76.629311	223.52945
963.826367	65.000000	77.219101	217.36906
965.383398	65.000000	79.225525	205.74362
966.940527	65.000000	80.413124	193.25937
968.497461	65.000000	80.899277	181.15454
970.054395	65.000000	79.223877	163.80937
971.61123	65.000000	78.798233	144.95323
973.168066	65.000000	78.395012	133.57045
974.724707	65.000000	76.166908	124.76051
976.281445	65.000000	74.444138	120.21545
977.838086	65.000000	73.591736	118.82893
979.394629	65.000000	72.706001	115.7666
980.951074	65.000000	71.773003	112.88324
982.50752	65.000000	70.31488	111.01443
984.063965	65.000000	68.315216	111.89897
985.620313	65.000000	65.879044	109.14772
987.176563	65.000000	64.469139	106.24936
988.732812	65.000000	62.460785	102.76716
