eV,e1,e2
1.74	14.155	0.090171
1.72	14.086	0.084517
1.7	14.018	0.079049
1.68	13.952	0.073767
1.66	13.887	0.068669
1.64	13.824	0.063757
1.62	13.761	0.059031
1.6	13.7	0.05449
1.58	13.641	0.050134
1.56	13.582	0.045963
1.54	13.525	0.041978
1.52	13.469	0.038178
1.5	13.414	0.034564
1.48	13.36	0.031135
1.46	13.307	0.027891
1.44	13.255	0.024833
1.42	13.205	0.02196
1.4	13.155	0.019272
1.38	13.106	0.01677
1.36	13.059	0.014453
1.34	13.013	0.012321
1.32	12.967	0.010375
1.3	12.923	0.0086132
1.28	12.879	0.0070361
1.26	12.837	0.0056425
1.24	12.795	0.0044301
1.22	12.754	0.0033952
1.2	12.715	0.0025316
1.18	12.676	0.0018302
1.16	12.639	0.0012782
1.14	12.602	0.00085907
1.12	12.566	0.0005536
1.1	12.532	0.0003408
1.08	12.498	0.00019972
1.06	12.465	0.00011105
1.04	12.433	5.8411e-005
1.02	12.402	2.898e-005
1	12.371	1.3529e-005
0.98	12.342	5.9284e-006
0.96	12.313	2.4338e-006
0.94	12.285	0
0.92	12.258	0
0.9	12.232	0
0.88	12.206	0
0.86	12.181	0
0.84	12.157	0
0.82	12.134	0
0.8	12.111	0
0.78	12.089	0
0.76	12.067	0
0.74	12.046	0
0.72	12.026	0
0.7	12.007	0
0.68	11.988	0
0.66	11.97	0
0.64	11.952	0
0.62	11.935	0
0.6	11.919	0
0.58	11.903	0
0.56	11.888	0
0.54	11.873	0
0.52	11.859	0
0.5	11.845	0
0.48	11.832	0
0.46	11.82	0
0.44	11.808	0
0.42	11.797	0
0.4	11.786	0
0.38	11.776	0
0.36	11.767	0
0.34	11.757	0
0.32	11.749	0
0.3	11.741	0
0.28	11.733	0
0.26	11.726	0
0.24	11.72	0
0.22	11.714	0
0.2	11.709	0
